物件ID,物件名称,"类型
专门用于前置物件判定
还有代码块类型筛选判断","子类型
专门用于自动建造判定",建筑背包分类,Entity的Icon,Entity的描述,纹理1,补充纹理,物件逻辑投影,"前置物件
0，可以放置在任意类型的前置物件上",物件是否可自动建造,物件上是否可建造,建造高度,行走矮边高,行走高边高,物件高边 ,通行方向,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 1.玩家
 2.木头
 3.草
 4.石头
 5.建筑
 6.机器人
 7.怪物

",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,玩家经过是否半透,身体大小(半径像素),不显示在代码块下拉中,代码界面中物品排序ID,属性控件,idle效果,死亡效果,代码库ID,是否是地块
2010010,#N/A,10,,1,ic_floor11_HuaGan,花岗岩地板，确实蛮花的。,icob_floor_1001110,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,ironHited,,0,,3,,,0,0,,,,10001,,,1002,
2010011,#N/A,10,,1,ic_floor8_AnShan,安山岩？总之就是用它合成的地板。,icob_floor_1001111,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,ironHited,,0,,3,,,0,0,,,,10001,,,1002,
2010012,#N/A,10,,1,ic_floor10_XuanWu,玄武岩的地板，真是奢侈啊。,icob_floor_1001111_ever,,15,"7,17",1,1,8,1,1,0,15,0,,,frame_felling,ironHited,,0,,3,,,0,0,,,,10001,,,1002,
2020003,#N/A,11,1,2,ic_wall3_XueHai,雪海松做的墙，还不错哦。,icob_wall_mao_cao_qiang,icob_wall_mao_cao_qiang_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020004,#N/A,11,1,2,ic_wall4_YuanMu,木头做成的墙，有一定的防御能力了。,icob_wall_pu_tong_mu_qiang,icob_wall_pu_tong_mu_qiang_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020005,#N/A,11,1,2,ic_wall5_HeiXiang,看起来厚重的橡木地板！似乎比其他木墙更强呢。,icob_wall_xiang_mu_qiang,icob_wall_xiang_mu_qiang_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020006,#N/A,11,1,2,ic_wall6_QingYun,青云杉制成的木墙。,icob_wall_yun_shan_mu_qiang,icob_wall_yun_shan_mu_qiang_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020007,#N/A,11,1,2,ic_wall7_BaiHua,白桦树做成的，很棒！,icob_wall_bai_hua_mu_qiang,icob_wall_bai_hua_mu_qiang_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020008,#N/A,11,1,2,ic_wall8_HongFeng,枫木的墙哦，多找点枫树吧！,icob_wall2_1002108,icob_wall2_1002108_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020009,#N/A,11,1,2,ic_wall9_ShiZhi,就是一面石头做成的墙，防御能力比木头的好。,icob_wall2_1002109,icob_wall2_1002109_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020010,#N/A,11,1,2,ic_wall10_DaLi,大理岩做成的墙壁，坚不可摧。,icob_wall2_1002110,icob_wall2_1002110_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020011,#N/A,11,1,2,ic_wall11_HuaGan,花岗岩墙壁，你喜欢吗？,icob_wall2_1002111,icob_wall2_1002111_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020012,#N/A,11,1,2,ic_wall12_AnShan,此墙可安山，有它在你就放心吧！,icob_wall2_1002112,icob_wall2_1002112_p,4,10,1,1,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020013,#N/A,11,2,2,ic_wall13_XuanWu,玄武岩墙壁，感觉没什么能打得动了吧。,icob_wall_1002102,icob_wall_1002102_p,4,10,1,0,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020016,玄武岩门,11,2,2,ic_door11_Xwy,玄武岩做的源码门。蕴含更强的防御能力。,icob_door_8_XWY,icob_wall_1002102_p,4,10,1,0,166,166,166,0,11,0,,,frame_felling,ironHited,,0,,0,,,0,1,,,,10001,,,1002,
2020017,#N/A,11,3,2,ic_door8_Asy,让人安心的安山岩门。,icob_door_1_close,icob_wall2_1002112_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020018,#N/A,11,3,2,ic_door1_BaiHua,白桦木做成的门，就这样！,icob_door_2_close,icob_wall_bai_hua_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020019,#N/A,11,3,2,ic_door9_Dly,嗯，看起来就很牢固啊，大理岩门。,icob_door_3_close,icob_wall2_1002110_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020020,#N/A,11,3,2,ic_door3_HongFeng,一扇枫木做成的门。,icob_door_4_close,icob_wall2_1002108_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020021,#N/A,11,3,2,ic_door10_Hgy,有一种艺术，叫做花岗岩的门。,icob_door_5_close,icob_wall2_1002111_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020022,#N/A,11,3,2,ic_door5_XueHaiS,还好做个雪海松门不用花太多材料。,icob_door_6_close,icob_wall_mao_cao_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020023,#N/A,11,3,2,ic_door7_YuanMu,原木木门，制作材料随处可见。,icob_door_7_close,icob_wall_pu_tong_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020024,#N/A,11,3,2,ic_door4_ShiTou,普通的石制门，防御力提升了。,icob_door_8_close,icob_wall2_1002109_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020025,#N/A,11,3,2,ic_door2_HeiXiang,黑橡木材质的门，稳重端庄。,icob_door_9_close,icob_wall_xiang_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020026,#N/A,11,3,2,ic_door6_YunShan,青云杉木门，似乎都差不多。,icob_door_10_close,icob_wall_yun_shan_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,0,,0,,,0,1,,,,10001,,,1002,
2020027,#N/A,11,1,2,ic_window1_BaiHua,白桦木窗，蛮好看的。,icob_window1_Bhmc,icob_wall_bai_hua_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020028,#N/A,11,1,2,ic_window2_HeiXiang,黑橡木窗，稳重系列。,icob_window2_Hxmc,icob_wall_xiang_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020029,#N/A,11,1,2,ic_window3_HongFeng,红枫木窗，可没那么容易得到。,icob_window3_Hfmc,icob_wall2_1002108_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020030,#N/A,11,1,2,ic_window4_YuanMu,原木窗，轻松可造。,icob_window4_Ptmc,icob_wall_pu_tong_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020031,#N/A,11,1,2,ic_window6_XueHaiSong,雪海松窗，造了能在窗外赏雪吗？,icob_window5_Xhsc,icob_wall_mao_cao_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020032,#N/A,11,1,2,ic_window7_YunShan,青云杉窗，能不能让我看看云朵。,icob_window6_Ysmc,icob_wall_yun_shan_mu_qiang_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2020033,#N/A,11,1,2,ic_window5_ShiTou,石制窗，防御力提升了。,icob_window7_Sc,icob_wall2_1002109_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2020034,#N/A,11,1,2,ic_window8_Asy,安山岩窗，确实能让人安心。,icob_window8_Asy,icob_wall2_1002112_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2020035,#N/A,11,1,2,ic_window9_Dls,大理岩窗，十分好用。,icob_window9_Dls,icob_wall2_1002110_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2020036,#N/A,11,1,2,ic_window10_Hgy,花岗岩窗，花花的，防御力也很棒。,icob_window10_Hgy,icob_wall2_1002111_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2020037,#N/A,11,1,2,ic_window11_Xwy,玄武岩窗，凑齐了一套的话基本不怕不怕啦。,icob_window11_Xwy,icob_wall_1002102_p,4,10,1,0,166,166,166,0,11,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030001,#N/A,5,,4,ic0001Ymlf,用原木做成的立方体。,icob0001Ymlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030002,#N/A,5,,4,ic0002Hxmlf,用黑橡木做成的立方体。,icob0002Hxmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030003,#N/A,5,,4,ic0003Qyslf,用青云杉做成的立方体。,icob0003Qyslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030004,#N/A,5,,4,ic0004Bhmlf,用白桦木做成的立方体,icob0004Bhmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030005,#N/A,5,,4,ic0005Hfmlf,用红枫木做成的立方体。,icob0005Hfmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030006,#N/A,5,,4,ic0006Xhslf,用雪海松做成的立方体。,icob0006Xhslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030007,#N/A,5,,4,ic0007Blf,用冰做成的立方体。,icob0007Blf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030008,#N/A,5,,4,ic0008Ymcft,用原木做成的长方体。,icob0008Ymcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030009,#N/A,5,,4,ic0009Hxmcft,用黑橡木做成的长方体。,icob0009Hxmcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030010,#N/A,5,,4,ic0010Qyscft,用青云杉做成的长方体。,icob0010Qyscft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030011,#N/A,5,,4,ic0011Bhmcft,用白桦木做成的长方体,icob0011Bhmcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030012,#N/A,5,,4,ic0012Hfmcft,用红枫木做成的长方体。,icob0012Hfmcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030013,#N/A,5,,4,ic0013Xhscft,用雪海松做成的长方体。,icob0013Xhscft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030014,#N/A,5,,4,ic0014Bcft,用冰做成的长方体。,icob0014Bcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030015,#N/A,5,,4,ic0015Ymlz,用原木做成的立柱。,icob0015Ymlz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030016,#N/A,5,,4,ic0016Hxmlz,用黑橡木做成的立柱。,icob0016Hxmlz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030017,#N/A,5,,4,ic0017Qyslz,用青云杉做成的立柱。,icob0017Qyslz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030018,#N/A,5,,4,ic0018Bhmlz,用白桦木做成的立柱,icob0018Bhmlz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030019,#N/A,5,,4,ic0019Hfmlz,用红枫木做成的立柱。,icob0019Hfmlz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030020,#N/A,5,,4,ic0020Xhslz,用雪海松做成的立柱。,icob0020Xhslz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030021,#N/A,5,,4,ic0021Blz,用冰做成的立柱。,icob0021Blz,,15,0,1,1,282,282,282,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030022,#N/A,5,,4,ic0022Szlf,用石头做成的立方体。,icob0022Szlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030023,#N/A,5,,4,ic0023Dlylf,用大理岩做成的立方体。,icob0023Dlylf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030024,#N/A,5,,4,ic0024Hgylf,用花岗岩做成的立方体。,icob0024Hgylf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030025,#N/A,5,,4,ic0025Asylf,用安山岩做成的立方体。,icob0025Asylf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030026,#N/A,5,,4,ic0026Xwylf,用玄武岩做成的立方体。,icob0026Xwylf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030027,#N/A,5,,4,ic0027Szcft,用石头做成的长方体。,icob0027Szcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030028,#N/A,5,,4,ic0028Dlycft,用大理岩做成的长方体。,icob0028Dlycft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030029,#N/A,5,,4,ic0029Hgycft,用花岗岩做成的长方体。,icob0029Hgycft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030030,#N/A,5,,4,ic0030Asycft,用安山岩做成的长方体。,icob0030Asycft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030031,#N/A,5,,4,ic0031Xwycft,用玄武岩做成的长方体。,icob0031Xwycft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030032,#N/A,5,,4,ic0032Szlz,用石头做成的立柱。,icob0032Szlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030033,#N/A,5,,4,ic0033Dlslz,用大理岩做成的立柱。,icob0033Dlslz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030034,#N/A,5,,4,ic0034Hgylz,用花岗岩做成的立柱。,icob0034Hgylz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030035,#N/A,5,,4,ic0035Asylz,用安山岩做成的立柱。,icob0035Asylz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030036,#N/A,5,,4,ic0036Xwylz,用玄武岩做成的立柱。,icob0036Xwylz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030037,#N/A,5,,4,ic0037Tlf,用铁做成的立方体。,icob0037Tlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030038,#N/A,5,,4,ic0038Tcft,用铁做成的长方体。,icob0038Tcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030039,#N/A,5,,4,ic0039Tz,用铁做成的立柱。,icob0039Tz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030040,#N/A,5,,4,ic0040Glf,用钢做成的立方体。,icob0040Glf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030041,#N/A,5,,4,ic0041Gcft,用钢做成的长方体。,icob0041Gcft,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030042,#N/A,5,,4,ic0042Gz,用钢做成的立柱。,icob0042Gz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
2030043,#N/A,5,,4,ic0043Bsmlf,白色的木制立方体。,icob0043Bsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030044,#N/A,5,,4,ic0044Hsmlf,黄色的木制立方体。,icob0044Hsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030045,#N/A,5,,4,ic0045Lsmlf,蓝色的木制立方体。,icob0045Lsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030046,#N/A,5,,4,ic0046Hsmlf,红色的木制立方体。,icob0046Hsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030047,#N/A,5,,4,ic0047Csmlf,橙色的木制立方体。,icob0047Csmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030048,#N/A,5,,4,ic0048Lsmlf,绿色的木制立方体。,icob0048Lsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030049,#N/A,5,,4,ic0049Zsmlf,紫色的木制立方体。,icob0049Zsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030050,#N/A,5,,4,ic0050Hsmlf,黑色的木制立方体。,icob0050Hsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030051,#N/A,5,,4,ic0051Hsmlf,灰色的木制立方体。,icob0051Hsmlf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030052,#N/A,5,,4,ic0052Bsmcf,白色的木制长方体。,icob0052Bsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030053,#N/A,5,,4,ic0053Hsmcf,黄色的木制长方体。,icob0053Hsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030054,#N/A,5,,4,ic0054Lsmcf,蓝色的木制长方体。,icob0054Lsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030055,#N/A,5,,4,ic0055Hsmcf,红色的木制长方体。,icob0055Hsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030056,#N/A,5,,4,ic0056Csmcf,橙色的木制长方体。,icob0056Csmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030057,#N/A,5,,4,ic0057Lsmcf,绿色的木制长方体。,icob0057Lsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030058,#N/A,5,,4,ic0058Zsmcf,紫色的木制长方体。,icob0058Zsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030059,#N/A,5,,4,ic0059Hsmcf,黑色的木制长方体。,icob0059Hsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030060,#N/A,5,,4,ic0060Hsmcf,灰色的木制长方体。,icob0060Hsmcf,,15,0,1,1,260,260,260,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030061,#N/A,5,,4,ic0061Bsmlz,白色的木制立柱。,icob0061Bsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030062,#N/A,5,,4,ic0062Hsmlz,黄色的木制立柱。,icob0062Hsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030063,#N/A,5,,4,ic0063Lsmlz,蓝色的木制立柱。,icob0063Lsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030064,#N/A,5,,4,ic0064Hsmlz,红色的木制立柱。,icob0064Hsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030065,#N/A,5,,4,ic0065Csmlz,橙色的木制立柱。,icob0065Csmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030066,#N/A,5,,4,ic0066Lsmlz,绿色的木制立柱。,icob0066Lsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030067,#N/A,5,,4,ic0067Zsmlz,紫色的木制立柱。,icob0067Zsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030068,#N/A,5,,4,ic0068Hsmlz,黑色的木制立柱。,icob0068Hsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030069,#N/A,5,,4,ic0069Hsmlz,灰色的木制立柱。,icob0069Hsmlz,,15,0,1,1,280,280,280,0,15,150,1046,5,frame_felling,woodHited,,,,,,,0,1,,,,10001,,,1002,
2030070,#N/A,5,,4,ic0070Bsslf,白色的石制立方体。,icob0070Bsslf,,15,0,1,1,68,68,68,0,15,150,1046,5,frame_felling,ironHited,,,,,,,0,1,,,,10001,,,1002,
