id,名字,类型,资源名,格式,时长(毫秒）,描述
146,name146,1,1145,wav,2000,
147,name147,1,1146,wav,2000,
148,name148,1,1147,wav,3000,
149,name149,1,1148,wav,1000,
150,name150,1,1149,wav,1000,
151,name151,1,1150,wav,5000,
152,name152,1,1151,wav,2000,
153,name153,1,1152,wav,2000,
154,name154,1,1153,wav,2000,
155,name155,1,1154,wav,1000,
156,name156,1,1155,wav,1000,
157,name157,1,1156,wav,1000,
158,name158,1,1157,wav,1000,
159,name159,1,1158,wav,2000,
160,name160,1,1159,wav,1000,
161,name161,1,1160,wav,1000,
162,name162,1,1161,wav,1000,
163,name163,1,1162,wav,2000,
164,name164,1,1163,wav,3000,
165,name165,1,1164,wav,1000,
166,name166,1,1165,wav,2000,
167,name167,1,1166,wav,1000,
168,name168,1,1167,wav,1000,
169,name169,1,1168,wav,5000,
170,name170,1,1169,wav,8000,
171,name171,1,1170,wav,2000,
172,name172,1,1171,wav,3000,
173,name173,1,1172,wav,5000,
174,name174,1,1173,wav,5000,
175,name175,1,1174,wav,2000,
176,name176,1,1175,wav,1000,
177,name177,1,1176,wav,3000,
178,name178,1,1177,wav,2000,
179,name179,1,1178,wav,1000,
180,name180,1,1179,wav,3000,
181,name181,1,1180,wav,3000,
182,name182,1,1181,wav,1000,
183,name183,1,1182,wav,8000,
184,name184,1,1183,wav,1000,
185,name185,1,1184,wav,4000,
186,name186,1,1185,wav,1000,
187,name187,1,1186,wav,1000,
188,name188,1,1187,wav,1000,
189,name189,1,1188,wav,6000,
190,name190,1,1189,wav,1000,
191,name191,1,1190,wav,1000,
192,name192,1,1191,wav,3000,
193,name193,1,1192,wav,1000,
194,name194,1,1193,wav,9000,
195,name195,1,1194,wav,1000,
196,name196,1,1195,wav,3000,
197,name197,1,1196,wav,3000,
198,name198,1,1197,wav,1000,
199,name199,1,1198,wav,2000,
200,name200,1,1199,wav,2000,
201,name201,1,1200,wav,1000,
202,name202,1,1201,wav,1000,
203,name203,1,1202,wav,1000,
204,name204,1,1203,wav,3000,
205,name205,1,1204,wav,3000,
206,name206,1,1205,wav,4000,
207,name207,1,1206,wav,1000,
208,name208,1,1207,wav,1000,
209,name209,2,1208,wav,25000,
210,name210,1,1209,wav,3000,
211,name211,1,1210,wav,2000,
212,name212,1,1211,wav,3000,
213,name213,1,1212,wav,3000,
214,name214,1,1213,wav,5000,
215,name215,1,1214,wav,3000,
216,name216,1,1215,wav,7000,
217,name217,1,1216,wav,5000,
218,name218,1,1217,wav,2000,
219,name219,1,1218,wav,2000,
220,name220,1,1219,wav,2000,
221,name221,1,1220,wav,1000,
222,name222,1,1221,wav,1000,
223,name223,1,1222,wav,3000,
224,name224,1,1223,wav,1000,
225,name225,1,1224,wav,1000,
226,name226,1,1225,wav,1000,
227,name227,1,1226,wav,3000,
228,name228,1,1227,wav,1000,
229,name229,2,1228,wav,15000,
230,name230,1,1229,wav,3000,
231,name231,1,1230,wav,2000,
232,name232,1,1231,wav,2000,
233,name233,1,1232,wav,1000,
234,name234,1,1233,wav,6000,
235,name235,1,1234,wav,1000,
236,name236,1,1235,wav,10000,
237,name237,2,1236,wav,14000,
238,name238,1,1237,wav,1000,
239,name239,1,1238,wav,2000,
240,name240,1,1239,wav,2000,
241,name241,1,1240,wav,3000,
242,name242,1,1241,wav,4000,
243,name243,1,1242,wav,1000,
244,name244,1,1243,wav,1000,
245,name245,1,1244,wav,5000,
246,name246,1,1245,wav,2000,
247,name247,1,1246,wav,6000,
248,name248,1,1247,wav,3000,
249,name249,1,1248,wav,1000,
250,name250,2,1249,wav,21000,
251,name251,1,1250,wav,2000,
252,name252,1,1251,wav,1000,
253,name253,1,1252,wav,1000,
254,name254,1,1253,wav,4000,
255,name255,1,1254,wav,3000,
256,name256,1,1255,wav,1000,
257,name257,1,1256,wav,1000,
258,name258,1,1257,wav,2000,
259,name259,1,1258,wav,1000,
260,name260,1,1259,wav,1000,
261,name261,2,1260,wav,15000,
262,name262,1,1261,wav,1000,
263,name263,1,1262,wav,3000,
264,name264,1,1263,wav,9000,
265,name265,1,1264,wav,5000,
266,name266,1,1265,wav,1000,
267,name267,1,1266,wav,3000,
268,name268,1,1267,wav,1000,
269,name269,1,1268,wav,2000,
270,name270,1,1269,wav,1000,
271,name271,1,1270,wav,10000,
272,name272,1,1271,wav,5000,
273,name273,1,1272,wav,1000,
274,name274,1,1273,wav,1000,
275,name275,1,1274,wav,3000,
276,name276,1,1275,wav,3000,
277,name277,1,1276,wav,3000,
278,name278,1,1277,wav,1000,
279,name279,1,1278,wav,1000,
280,name280,1,1279,wav,3000,
281,name281,1,1280,wav,3000,
282,name282,1,1281,wav,4000,
283,name283,1,1282,wav,3000,
284,name284,1,1283,wav,3000,
285,name285,1,1284,wav,1000,
286,name286,1,1285,wav,9000,
287,name287,1,1286,wav,6000,
288,name288,1,1287,wav,2000,
289,name289,1,1288,wav,1000,
290,name290,2,1289,wav,11000,
291,name291,1,1290,wav,5000,
292,name292,1,1291,wav,3000,
293,name293,1,1292,wav,1000,
294,name294,1,1293,wav,1000,
295,name295,1,1294,wav,1000,
296,name296,1,1295,wav,1000,
297,name297,1,1296,wav,1000,
298,name298,1,1297,wav,2000,
299,name299,1,1298,wav,3000,
300,name300,1,1299,wav,1000,
301,name301,1,1300,wav,3000,
302,name302,1,1301,wav,1000,
303,name303,1,1302,wav,1000,
304,name304,1,1303,wav,1000,
305,name305,2,1304,wav,12000,
306,name306,1,1305,wav,3000,
307,name307,1,1306,wav,1000,
308,name308,1,1307,wav,2000,
309,name309,1,1308,wav,1000,
310,name310,1,1309,wav,5000,
311,name311,1,1310,wav,1000,
312,name312,1,1311,wav,1000,
313,name313,1,1312,wav,1000,
314,name314,1,1313,wav,1000,
315,name315,2,1314,wav,16000,
316,name316,1,1315,wav,2000,
317,name317,1,1316,wav,1000,
318,name318,1,1317,wav,6000,
319,name319,1,1318,wav,1000,
320,name320,1,1319,wav,1000,
321,name321,1,1320,wav,2000,
322,name322,1,1321,wav,3000,
323,name323,1,1322,wav,1000,
324,name324,1,1323,wav,1000,
325,name325,1,1324,wav,1000,
326,name326,1,1325,wav,4000,
327,name327,1,1326,wav,1000,
328,name328,1,1327,wav,1000,
329,name329,1,1328,wav,9000,
330,name330,1,1329,wav,2000,
331,name331,1,1330,wav,1000,
332,name332,1,1331,wav,1000,
333,name333,1,1332,wav,1000,
334,name334,1,1333,wav,1000,
335,name335,2,1334,wav,11000,
336,name336,1,1335,wav,2000,
337,name337,1,1336,wav,3000,
338,name338,1,1337,wav,1000,
