物件ID,物件名称1,备注,Material的Icon,Materia的描述,"类型
5.建筑物品
7.地表/地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户",子类型,"前置物件
0，可以放置在任意类型的前置物件上",物件逻辑投影,通行方向（阻挡）,纹理1,补充纹理,血量,死亡掉落配方ID,"技能作用类型
 0.未知类型
 2.木头
 3.草
 4.石头
 5.建筑
     8.宝箱",受击特效,受击音效,物件防御,掉落经验,物件等级,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,是否遮挡,身体大小(半径像素),不显示在代码块下拉中,阵营,"种出来资源的寿命
（种植专用，非种植无需配置）单位秒",代码界面中物品排序ID,idle效果,死亡效果
3092006,沙漠玫瑰,80029,shamomt1006,一种长在沙漠中的玫瑰花，看上去很美,8,,0,15,15,shamomt1006,0,1,10072,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
3092007,沙漠原石,80030,shamomt1007,沙漠中场景的石头,8,,0,15,15,"shamomt1007,shamomt1008",0,80,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3093003,雪原草,10201,xuedimt1001,在雪原四处可见的植物，掉落纤维,8,,0,15,15,xuedimt1001,0,1,10006,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,1,1,,,,
3093005,冰瑚,#N/A,xuedimt1005,由于是蓝色的，所以采用了俗名蓝珊瑚的科属。现实中的冰珊瑚是珊瑚结冰后的样子，也很美哦。,8,,0,15,15,"xuedimt1005,xuedimt1004",0,1,10067,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,1,1,,,,
3093006,小雪杉,#N/A,xuedimt1006,来源于现实中的雪松，因为其形状常被误称为雪杉。其实松科植物哦。,8,,0,15,0,xuedimt1006,0,100,10069,2,frame_collect,grassHited,0,0,0,0,0,,0,1,0,1,1,,,,
3093007,冰晶树,10610,bingyuanmt1001,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,8,,0,15,0,"bingyuanmt1001,bingyuanmt1002",0,255,10068,4,frame_mining,ironHited,0,0,0,0,0,,20,1,30,1,1,,,,
3093009,冰晶结晶,10612,bingyuanmt1004,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,8,,0,15,0,"bingyuanmt1003,bingyuanmt1004,bingyuanmt1005",0,250,10054,4,frame_mining,ironHited,0,0,0,0,0,,10,1,20,1,1,,,3,
3093010,雪原枯树,10613,xuedimt1010,提起枯树，就不免想到枯死的胡杨林。虽然胡杨是生长在沙漠，但是胡杨顽强抗争的精神应该传遍世界。,8,,0,15,0,"xuedimt1010,xuedimt1011",0,400,10029,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
3093011,雪地原石,10320,xuedimt1007,原型为石头，可用来制造石器，采集石矿。在几千年前，我们的祖先就是用石头来生火。可采集出石头,8,,0,15,15,"xuedimt1007,xuedimt1007X",0,100,10046,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3093012,雪蘑菇,#N/A,xuedimt1008,还没有填描述,8,,0,15,0,"xuedimt1008,xuedimt1009",0,50,10065,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
3094001,思索花,#N/A,mt10010Ssh,原型为水仙花，又名中国水仙，是多花水仙的一个变种。在中国已有一千多年栽培历史，为传统观赏花卉，是中国十大名花。,8,,0,15,15,mt10010Ssh,0,1,10017,3,frame_collect,grassHited,0,0,0,0,0,,0,,0,,1,172800,,,
3094002,星辰花,10208,mt10011Xch,原型为勿忘我，多年生草本，适应力强，花语是永恒的爱，浓情厚谊，永不变的心，永远的回忆。,8,,0,15,15,mt10011Xch,0,1,10016,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094003,紫色天国,10209,mt10012Zstg,原型为欧石楠，挪威的国花-帚石楠，俗名苏格兰石楠，有一个美丽的译名——艾莉卡。花语是孤独、背叛。,8,,0,15,15,mt10012Zstg,0,1,10020,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094004,红桃皇后,10210,mt10013Hthh,原型为玫瑰花，玫瑰原产于中国，栽培历史悠久。是重要的香料植物。玫瑰在中国古代文学里象征刺客。,8,,0,15,15,mt10013Hthh,0,1,10013,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094005,德馨花,10211,mt10014Dkh,原型为康乃馨，康乃馨原名其实是香石竹。花语大部分情况下是爱，魅力和尊敬之情。,8,,0,15,15,mt10014Dkh,0,1,10015,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094006,空心,10221,mt10015Kx,原型为空心莲子草，原产巴西，生在池沼、水沟内。全草入药，有清热利水、凉血解毒作用; 可作饲料。,8,,0,15,15,"mt10015Kx,mt10025Kxk",0,1,10007,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094007,黄芯,10213,mt10016Hx,原型为狗娃花，狗娃花生长于海拔2400米的荒地、路旁、林缘及草地。狗娃花根入药，能解毒消肿，治疮肿、蛇咬。,8,,0,15,15,mt10016Hx,0,1,10010,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094008,小雪球,10214,mt10017Xxq,原型为蒲公英，广泛生于中、低海拔地区的山坡草地、路边、田野、河滩。可吃可入药，花语是“无法停留的爱”。,8,,0,15,15,mt10017Xxq,0,1,10011,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094009,银剑菊,10215,mt10018Yjj,生长在夏威夷茂宜岛上的哈雷卡拉火山国家公园上的世界珍稀植物夏威夷银剑菊。一生只开一次花。被称为大自然最奇特的花。,8,,0,15,15,"mt10018Yjj,mt10038Khyjj",0,1,10012,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094010,魔鬼花,10216,mt10020Mgh,"原型为澳洲沙漠豆花，又名“斯特尔特沙漠豌豆"" (Sturt's Desert Pea)。原产于澳洲的干旱地区，是澳大利亚最知名的野花之一。花朵奇特，观赏价值高。",8,,0,15,15,mt10020Mgh,0,1,10018,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094011,狼毫草,10217,mt10021Lhc,原型为狗尾草，其秆、叶可作饲料，也可入药，治痈瘀、面癣；全草加水煮沸20分钟后，滤出液可喷杀菜虫；小穗可提炼糠醛。,8,,0,15,15,"mt10021Lhc,mt10022Lhck",0,1,10008,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094013,龙爪草,10219,mt10023Lzc,四处可见的草类植物，采集可掉落纤维和果子,8,,0,15,15,"mt10023Lzc,mt10024Lzck",0,1,10009,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094016,仙人掌,10222,mt10026Xrq,原型为仙人掌，仙人掌喜光，常在沙漠中存在，仙人掌汁可用来解渴,8,,0,15,0,"mt10026Xrq,mt10027Xrz",0,255,10027,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,172800,,,
3094018,浆果树,10224,mt10028Zg,原型为朱蕉，性喜高温多湿气候，为观叶植物。朱蕉株形美观，色彩华丽高雅，具有较好的观赏性。花语：青春永驻，清新悦目。,8,,0,15,15,"mt10028Zg,mt10028Zgg",0,1,11018,3,frame_collect,grassHited,0,0,0,0,1,,0,1,0,,1,172800,,,
3094020,龟甲灌丛,#N/A,mt10029Gjgc,原型为龟甲冬青，喜温暖气候，适应性强，阳地、阴处均能生长；但以湿润、肥沃的微酸性黄土最为适宜，中性土壤亦能正常生长。,8,,0,15,15,mt10029Gjgc,0,1,10022,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,,1,172800,,,
3094021,红浆树,10227,mt10030Hjs,原型为南天竹药用可以镇咳止喘，兴奋强壮，但其实全株有毒，中毒症状为兴奋，脉搏先快后慢、且不规则、血压下降、肌肉痉挛、呼吸麻痹、昏迷等。,8,,0,15,15,mt10030Hjs,0,1,10021,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,,1,172800,,,
3094022,沙漠浆果,10228,mt10031Hl,原型为红柳，又称怪柳，分布于我国新疆、甘肃、内蒙古、河南，除饲用外，主要用于营造农田防护林、绿化林、固沙林。,8,,0,15,15,mt10031Hl,0,1,10025,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,,1,172800,,,
3094023,胡萝卜,10398,mt10032Hlb,原型为胡萝卜，胡萝卜素有“小人参”之称，根作为蔬菜食用。并含多种维生素A、B、C及胡萝卜素。,8,,0,15,15,mt10032Hlb,0,1,10058,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,
3094024,水稻,10399,mt10033Sd,原型为水稻，是世界上三分之一人类的主食，栽培历史可追溯到约公元前12000～16000年前的中国湖南。,8,,0,15,15,mt10033Sd,0,1,10056,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,1002
3094025,土豆苗圃,10400,mt10034Td,原型为马铃薯，别称洋芋，土豆等；马铃薯块茎含有大量的淀粉，能提供大量能量，可以用来主治胃痛、痄肋、痈肿、湿疹、烫伤，是和胃健中药和解毒消肿药。,8,,0,15,15,mt10034Td,0,1,10057,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,1002
3094026,西瓜苗圃,10401,mt10035Xg,原型为西瓜，生食能解渴生津，解暑热烦躁。有「天生白虎汤」之称，中国民间谚语云：夏日吃西瓜，药物不用抓。不过吃太多也伤脾胃哦。,8,,0,15,15,mt10035Xg,0,1,10059,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,1002
3094027,小麦,10402,mt10036Xm,原型为小麦，小麦是新石器时代的人类对其野生祖先进行驯化的产物，栽培历史已有1万年以上。小麦的颖果是人类的主食之一。,8,,0,15,15,mt10036Xm,0,1,10055,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,1002
3094028,芦苇,10411,mt10037Lw,原型为芦苇，由于芦苇根具有清热解渴，治疗上吐下泻。所以吃了可以加饥渴度和解毒。,8,,0,15,15,mt10037Lw,0,1,10060,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,172800,,,1002
3094033,沼泽草,#N/A,zhaozeobv1001,沼泽中常见的物品,8,,0,15,1,zhaozeobv1001,0,1,10063,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,1,1,,,,
3094034,开花银菊,10620,mt10038Khyjj,开了花的银渐菊，比较少见,8,,0,15,15,mt10038Khyjj,0,1,10063,3,frame_collect,grassHited,0,0,0,0,1,,0,,0,,1,,,,
3095001,常青树,#N/A,mt20001Jdcqs,一种很常见的树木，经常出现在草地中，会掉些原木，可以用来合成原木块，制作很多东西。,8,,0,15,0,"mt20001Jdcqs,mt20002Acj,mt20003Zjcqs,mt20004Jzjcq",0,255,10028,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,1,1,1,300,1,,
3095005,白桦,10233,mt20005Bh,"因其木材致密,可制木器。而且白桦树是俄罗斯的国树，白桦的花语和象征代表意义是生与死的考验。",8,,0,15,0,mt20005Bh,0,255,10038,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,300,,,
3095006,黑橡树,10234,mt20006Hx,橡树是美国的国树，在欧美，橡树被视为神秘之树，橡树的花语是永恒。,8,,0,15,0,mt20006Hx,0,255,10040,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,300,,1,1001
3095007,红枫,10235,mt20007Hf,别称红叶羽毛枫，红枫为名贵的观叶树木，故常作盆栽欣赏。,8,,0,15,0,mt20007Hf,0,255,10039,2,frame_cutting,woodHited,0,0,0,0,0,20,0,1,0,,1,300,,1,
3095008,青云杉,10236,mt20008Qys,为乔木。高达45米，胸径达1米；树皮淡灰褐色或淡褐灰色，裂成不规则鳞片或稍厚的块片脱落。,8,,0,15,0,mt20008Qys,0,255,10041,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,300,,1,1001
3095009,雪海松,10237,mt20009Xhs,中国只有一种喜玛拉雅雪松，分布于西藏南部及印度和阿富汗。雪松木材轻软，具树脂，不易受潮。在原产地是一种重要的建筑用材。还可以杀菌驱虫。,8,,0,15,0,mt20009Xhs,0,255,10044,2,frame_cutting,woodHited,0,0,0,0,0,20,0,1,0,,1,300,,1,
3095010,香蕉树,#N/A,mt20010Xjs,香蕉树，芭蕉科芭蕉属植物 原产于亚洲东南部热带、亚热带地区,8,,0,15,0,mt20010Xjs,0,255,10037,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,300,,,
3096002,安山岩,10385,mt30002Asy,安山岩矿，火山地貌比较多见,8,,0,15,0,mt30002Asy,0,200,10049,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096004,原石,#N/A,mt30005Ssdys,四处可见的基础物资，岩石地貌中分布比较多,8,,0,15,15,mt30005Ssdys,0,200,10045,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,2,3,
3096006,富铁矿,#N/A,mt30006Ftk,铁矿在雪地的湖边有广泛分布，在火山地貌也有不少,8,,0,15,15,"mt30006Ftk,mt30007Ftk",0,200,10051,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096007,花岗岩,10390,mt30007Hgy,花岗岩主要分布于岩石地貌环境中,8,,0,15,15,"mt30007Hgy,mt30007Hgy01",0,200,10048,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096008,玄武岩,10391,mt30008Xwy,主要分布于岩石地貌环境中，沼泽地貌也有少量分布,8,,0,15,15,mt30008Xwy,0,200,10050,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096014,大理岩,10397,mt30014Dly,由于中国云南省大理县盛产这种岩石，故名大理岩，主要用作雕刻和建筑材料。,8,,0,15,15,mt30014Dly,0,200,10047,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096015,奥金矿,80032,mt30015Jks,金矿指金矿石或金矿床（山）。金矿石是具有足够含量黄金并可工业利用的矿物集合体。,8,,0,15,15,"mt30015Jks,mt30016Jks",0,200,10053,5,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096016,冰晶体,10392,mt30009Qybz,一种形状怪物的冰柱,8,,0,15,15,mt30009Qybz,0,200,10084,5,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
3096017,火山树,#N/A,yanjiangobv1006,在火山地貌中出现的树，不常见，但采集后能获得大量经验,8,,0,15,0,yanjiangobv1006,0,300,10050,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
3097001,常青树,#N/A,shitoumt1001,一种长在石地中的树木，比较稀少,8,,0,15,0,shitoumt1001,0,255,10030,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
3099001,枯树,#N/A,zhaozemt1001,枯树也能获得一些原木,8,,0,15,0,zhaozemt1002,0,255,10032,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
3103001,雪原指路牌,10245,xuediob1001,还没有填描述,5,,0,15,0,xuediob1001,0,255,1015,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
3103002,雪晶树,#N/A,xuediob1002,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,8,,0,15,0,xuediob1002,0,255,10066,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
3110019,小苗,10614,zhongzhimt1001,植物刚长出来时的小苗,8,,0,15,15,zhongzhimt1001,0,1,10002,3,frame_collect,grassHited,0,0,0,0,0,,0,1,0,1,1,,,,
3110025,储物箱,10616,icob_feichuan7,源码飞船上散落出来的宝箱，有好东西！,8,,0,15,0,"icob_feichuan7,icob_feichuan8",0,1,12007,8,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
3110027,大储物箱,10621,icob_feichuan7,源码飞船上散落出来的宝箱，有好东西！,8,,0,15,0,icob_feichuan4,0,1,12008,8,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
9000001,常青树,80001,zxmt_cy_changqingshu1_CJ,常青树,8,,0,15,0,"zxmt_cy_changqingshu1_CJ,zxmt_cy_changqingshu2_CJ",0,50,10070,2,frame_shubj,woodHited,0,0,0,0,0,30,0,1,0,,1,,,1,1001
9000002,原石,80002,zxmt_cy_yuanshi1_CJ,原石,8,,0,15,15,"zxmt_cy_yuanshi1_CJ,zxmt_cy_yuanshi2_CJ",0,80,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
9000003,源码晶体矿,80003,zxmt_cy_ymjtk1_CJ,源码晶体矿,8,,0,15,15,"zxmt_cy_ymjtk1_CJ,zxmt_cy_ymjtk2_CJ",0,100,10073,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,4,
9000004,青草,80004,zxmt_cy_cao1_CJ,青草,8,,0,15,15,zxmt_cy_cao1_CJ,0,1,10072,3,frame_caoFeiYe,grassHited,0,0,0,1,1,,0,0,0,,1,,,2,1002
4001001,甜点镇青草,80010,tdz_1_1_10,甜点镇青草,8,,0,15,15,"tdz_1_1_10,tdz_1_1_11",0,1,10072,3,frame_caoFeiYe,grassHited,0,0,0,1,1,,0,1,0,1,1,,,,
4001002,球状雪糕树,80011,tdz_2_2_01,球状雪糕树,8,,0,15,0,tdz_2_2_01,0,200,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001003,双拼雪糕树,80012,tdz_2_2_02,双拼雪糕树,8,,0,15,0,tdz_2_2_02,0,200,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001004,三彩雪糕树,80013,tdz_2_2_03,三彩雪糕树,8,,0,15,0,tdz_2_2_03,0,200,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001005,雪糕树1,80014,tdz_2_2_04,雪糕树1,8,,0,15,0,tdz_2_2_04,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001006,雪糕树2,80015,tdz_2_2_05,雪糕树2,8,,0,15,0,tdz_2_2_05,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001007,雪糕树3,80016,tdz_2_2_06,雪糕树3,8,,0,15,0,tdz_2_2_06,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001008,雪糕树4,80017,tdz_2_2_07,雪糕树4,8,,0,15,0,tdz_2_2_07,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001009,雪糕树5,80018,tdz_2_2_08,雪糕树5,8,,0,15,0,tdz_2_2_08,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001010,雪糕树6,80019,tdz_2_2_09,雪糕树6,8,,0,15,0,tdz_2_2_09,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001011,雪糕树7,80020,tdz_2_2_09.5,雪糕树7,8,,0,15,0,tdz_2_2_10,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001013,雪糕阻挡1,80022,tdz_1_1_13,雪糕阻挡,5,,0,15,0,"tdz_1_1_13,tdz_1_1_14,tdz_1_1_15,tdz_1_1_16",0,500,,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001014,烧焦的树,80028,mt3110024sjds,烧焦的树,8,,0,15,0,mt3110024sjds,0,200,10028,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
4001015,铜矿,80031,zxmt_tk1_cao1_CJ,铜矿石,8,,0,15,15,"zxmt_tk1_cao1_CJ,zxmt_tk2_cao1_CJ",0,160,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001016,路灯,80033,dnc_2_2_02,精致的路灯，会掉落水晶和聚合物,5,,0,15,0,dnc_2_2_02,0,100,10081,5,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001017,灌木,80034,zxmt_tsd_cao1,比较少见的灌木,8,,0,15,15,zxmt_tsd_cao1,0,1,10072,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001018,树,80035,zxmt_tsd_shu1,一颗普通的树,8,,0,15,0,zxmt_tsd_shu1,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001019,桃林石头,80036,zxmt_tl_shitou1,上面落了桃花的石头,8,,0,15,15,zxmt_tl_shitou1,0,100,10087,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,3,
4001020,桃树,80037,tl_2_2_01,桃树,8,,0,15,0,"tl_2_2_01,tl_2_2_02",0,200,10088,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,,1,,,,
4001021,红色宝箱,80039,tl_2_1_02,书本,8,,0,"15,15","0,0",tl_2_1_02,0,1,10089,8,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001022,书本,80040,xx_1_1_05,书本,8,,0,15,0,xx_1_1_05,0,500,10090,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001023,树,80041,zxmt_tsd_shu2,一颗普通的树,8,,0,15,0,zxmt_tsd_shu2,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,0,1,1,,,,1001
4001024,红葫芦,80042,cx_1_1_02,红葫芦,8,,0,15,15,cx_1_1_02,0,1,10072,3,frame_collect,grassHited,0,0,0,0,1,,0,1,2,1,1,,,,
4001025,异色向日葵,80043,cx_1_1_03,异色向日葵,8,,0,15,15,cx_1_1_03,0,1,10072,3,frame_caoFeiYe,grassHited,0,0,0,0,1,,0,1,2,1,1,,,2,1002
4001026,紫珠草,80044,cx_1_1_04,紫珠草,8,,0,15,15,cx_1_1_04,0,1,10072,3,frame_caoFeiYe,grassHited,0,0,0,0,1,,0,1,2,1,1,,,,
4001027,早鸟树,80045,cx_2_2_01,早鸟树,8,,0,15,0,cx_2_2_01,0,150,11034,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,30,1,1,,,,
4001028,绵绵栎,80046,cx_2_2_02,绵绵栎,8,,0,15,0,cx_2_2_02,0,100,10070,2,frame_cutting,woodHited,0,0,0,0,0,53,0,1,30,1,1,,,1,
4001029,小枣树,80047,cx_3_3_01,小枣树,8,,0,15,0,cx_3_3_01,0,200,10070,2,frame_cutting,woodHited,0,0,0,0,0,82,0,1,30,1,1,,,1,
4001030,HB铅笔,80048,xx_1_1_08,HB铅笔,8,,0,15,0,xx_1_1_08,0,100,10091,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,30,1,1,,,,
4001031,铅笔头,80049,xx_1_1_06,铅笔头,8,,0,15,0,xx_1_1_06,0,100,10091,2,frame_cutting,woodHited,0,0,0,0,0,,0,1,30,1,1,,,,
4001032,海草,80050,sqgt_1_1_01,海草,8,,0,15,15,"sqgt_1_1_01,sqgt_1_1_02,sqgt_1_1_03",0,1,10072,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001033,特殊海草,80051,sqgt_1_1_11,特殊海草,8,,0,15,15,sqgt_1_1_11,0,1,10072,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,,
4001034,大海带,80052,sqgt_1_1_06,大海带,8,,0,15,15,"sqgt_1_1_06,sqgt_1_1_07,sqgt_1_1_08",0,50,10092,2,frame_cutting,woodHited,0,0,0,0,0,30,0,1,0,,1,,1,,
4001035,黑珍珠,80053,sqgt_1_1_15,黑珍珠,8,,0,15,15,sqgt_1_1_15,0,1,10093,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,,1,,,3,
4001036,支架,80054,sqgt_1_1_16,支架,8,,0,15,15,sqgt_1_1_16,0,100,10082,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,,1,,,3,
4001038,垃圾桶,80056,feixu_1_1_01,垃圾桶,8,,0,15,0,feixu_1_1_01,0,160,10071,4,frame_mining,ironHited,0,0,0,0,0,,0,1,0,1,1,,,,
4001039,垃圾袋,80057,feixu_1_1_04,垃圾袋,8,,0,15,0,"feixu_1_1_04,feixu_1_1_05",0,1,10098,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,1,1,,,,
4001040,螺丝,80058,feixu_1_1_08,螺丝,8,,0,15,15,"feixu_1_1_08,feixu_1_1_09",0,1,10099,3,frame_collect,grassHited,0,0,0,1,1,,0,0,0,1,1,,,,
