coolingTime-int,dailyUpper-int,defaultTemp-int,id-int,noOperationTime-int,playerTalkMan-string[],playerTalkWomen-string[],scene-string,sceneCell-string,sceneMusic-string[],sceneSpecialEffect-int,weatherEndRate-int,weatherMusic-string,weatherStartRate-int,weatherType-int,otherName-string,remark-string
5000,3,26,100030,30000,双峰夹玉带，嗯，不错不错。,没什么好看的呢。,隔断平原,10028Gdpy,,1,2000,rain,1000,1,,
5000,3,26,100031,30000,站着不动的话，容易被狼发现哦。,快走吧，我可不想被狼追着跑。,狼嚎森林,10029Lhsl,,1,2000,rain,1000,1,,
5000,3,26,100032,30000,听说这里是森林之心，就是这个湖泊吗？,嗯，让我们感受下森林的心跳？,森林之心,10030Slzx,,1,2000,rain,1000,1,,
5000,3,26,100033,30000,那么，这是哪个河的口呢？,静下来看看飞舞的蒲公英？,河口平原,10031Hkpy,,1,2000,rain,1000,1,,
5000,3,26,100034,30000,快走快走，我可不要呆在这。,啊，我要沉下去啦。ヽ(*。>Д<)o゜。,乌河沼泽北,10032WhzzB,,5,2000,miasm,1000,5,,
5000,3,26,100035,30000,喂，你还在不在？,泥巴好多啊。,乌河沼泽,10033Whzz,,5,2000,miasm,1000,5,,
5000,3,30,100036,30000,所以这中间一定有一座火山，对吧。,呜呜呜，风沙迷了我的眼，快帮我吹一吹。,环形沙漠区,10034Hxsmq,,3,2000,wind,1000,3,,
5000,3,37,100037,30000,火山可是危险的地方，死火山除外。,好热呀，我们快走吧。别呆在这了。,中心火山,10035Zxhs,,4,2000,fire,1000,4,,
5000,3,26,100038,30000,听说这个沼泽有个奇怪的名字。,我可不喜欢沼泽。,嗉囊沼泽,10036Snzz,,5,2000,miasm,1000,5,,
5000,3,26,100039,30000,为什么没有秃鹫呢？,本来以为会有丑丑的秃鹫呢，没想到风景还不错嘛。,秃鹫平原,10037Tjpy,,1,2000,rain,1000,1,,
5000,3,14,100040,30000,峡谷在哪里呢？,冷冷冷。,冰口峡谷,10038Bkxg,,2,2000,snow,500,2,,(穿越这里到达鸟冠冰原)
5000,3,14,100041,30000,好大一片苦寒之地啊。,所以让我们找找鸟冠在哪里吧。,鸟冠冰原,10039Ngby,,2,2000,snow,500,2,,
5000,3,26,100042,30000,为什么叫迪迪平原呢？真奇怪！,为什么叫迪迪平原呢？真奇怪！,迪迪平原,10040Ddpy,,1,2000,rain,1000,1,,
5000,3,37,100043,30000,不要在这呆着，银剑菊就在眼前啦。,让我们去见识见识罕见的开花银剑菊吧。,银剑火山,10041Yjhs,,4,2000,fire,1000,4,,
5000,3,20,100044,30000,有魔鬼的话，就来吧。,魔鬼什么的，最可怕啦。,魔鬼沙漠,10042Mgsm,,3,1,,1,0,,
5000,3,26,100045,30000,听说这里有个好大的湖，快去找找吧。,一个人欣赏美景总是有些寂寞呢。,大湖平原,10043Dhpy,,1,2000,rain,1000,1,,
5000,3,37,100046,30000,死亡的气息袭面而来呢。,好像来到了个可怕的地方。,寂灭山脉,10044Jmsm,,4,2000,fire,1000,4,,
5000,3,14,100047,30000,哦，这片冰山很有趣啊。,没想到这种地方还会出现雪啊。,融火冰山,10045Rhbs,,2,2000,snow,500,2,,
5000,3,26,100048,30000,真够泥泞的。,雪水融化导致的吗？,融雪沼泽,10046Rxzz,,5,2000,miasm,1000,5,,
5000,3,37,100049,30000,泥巴有多，还闷热，这地方可不好玩。,这个地方好讨厌，我们快走吧。,泥火岛,10047Nhd,,4,2000,fire,1000,4,,
5000,3,26,100050,30000,空气中弥漫着大米的香气呢。,别呆着了，宝宝要吃饭饭。,稻香平原,10048Dxpy,,1,2000,rain,1000,1,,（稻香阵阵的地方）
5000,3,26,100051,30000,一个小镇，到处转转看？,啊，这个小镇一定又好吃的，快走啊。,稻香镇,10049Dxz,,1,2000,rain,1000,1,,（已经无人的小镇）
5000,3,37,100052,30000,长了这么多树，应该是个死火山吧。,好奇特的地方，火山边上会有这么多树吗？,密林火山,10050Mlhs,,4,2000,fire,1000,4,,
5000,3,37,100053,30000,烈焰岛，期待一匹配得上我的烈火马。,期待遇上最美的烈焰。,烈焰岛,10051Lyd,,4,2000,fire,1000,4,,
5000,3,37,100054,30000,为什么不叫飞燕群岛呢？多好听。,动起来，待会火焰该掉我美丽的头发上了。,飞焰群岛,10052Fyqd,,4,2000,fire,1000,4,,
5000,3,26,100055,30000,所以两个湖在哪必须要靠双脚去寻找啊。,走吧，被呆着啦。我们去找湖呀。,双湖沼泽,10053Shzz,,5,2000,miasm,1000,5,,
5000,3,26,100056,30000,黄金，我来啦。所以说黄金都在那里。,金项链，金耳环，金戒指，结果只有金色的沙子吗？,黄金海岸,10054Hjha,,1,2000,rain,1000,1,,
5000,3,14,100057,30000,冷风吹，我凉凉。,一首凉凉送给你。,南部冰原,10055Nbby,,2,2000,snow,500,2,,
5000,3,26,100058,30000,狗头人们，你们不可以当人头狗哦。,狗头人是什么物种，完全没有见过欸。,狗头人平原,10056Gtrpy,,1,2000,rain,1000,1,,
5000,3,26,100059,30000,看来是一个遗迹。,嗯，没什么好看的，走吧。,源码古城,10057Ymgc,,1,2000,rain,1000,1,,
5000,3,14,100060,30000,动一动，去火山冒险吧。,所以它是为什么被围起来的呢。,围火岛,10058Whd,,2,2000,snow,500,2,,
5000,3,26,100061,30000,带着弓箭去打猎啦，发什么呆。,呀呼呼，你怎么啦。不会射箭吗？,飞箭平原,10059Fjpy,,1,2000,rain,1000,1,,
5000,3,26,100062,30000,让我想起了海湾战争。,海湾，游泳。,海湾平原,10060Hwpy,,1,2000,rain,1000,1,,
5000,3,26,100063,30000,制作人的农场吗？看看有没有什么彩蛋。,看看制作人有没有留下什么宝藏吧。,舒克的农场,shuke_sknc,,1,2000,rain,1000,1,别想来我这里偷菜，我根本就没种菜,(这里是制作者的舒克的农场)
5000,3,26,100064,30000,等着看戏吗？我感觉没什么可看的。,来一场罗密欧与朱丽叶，或者哈姆雷特。,源码剧场,shuke_ymjy,,1,2000,rain,1000,1,喜闻乐见的露天剧场，这里经常会上演各种剧目，有空可以来坐坐,（不定期会上演剧目）
5000,3,26,100065,30000,“隐士高人，出来一见”,这里会有仙人吗？,隐居场所,shuke_yjcs,,1,2000,rain,1000,1,深藏在丛林中的一个小房子，也许还有人居住？,（未知人士的隐居场所）
5000,3,14,100066,30000,嘿，让我们看看这里封印了什么。,为什么要来这么冷的地方呀，就为了满足自己的好奇心吗？,冰封半岛,10061Bfbd,,2,2000,snow,500,2,,
5000,3,26,100067,30000,好多迪迪哦。,迪迪肯定和制作人有什么不可告人的关系。,迪迪森林,10062Ddsl,,1,2000,rain,1000,1,,
5000,3,26,100068,30000,希望没有长发女鬼。,一头秀丽的长发吗？,长发森林,10063Cfsl,,1,2000,rain,1000,1,,
5000,3,26,100069,30000,挖矿大业，不能停息啊。,爬山挖矿什么的都交给机器人宝宝吧。,隔断山脉,10064Gdsm,,1,2000,rain,1000,1,,
5000,3,26,100070,30000,呜啦啦，所以这就是乌拉山脉吗？,难道这里有乌龟吗？不然为啥叫乌拉山脉呢。,乌拉山脉,10065Wlsm,,1,2000,rain,1000,1,,
5000,3,26,100071,30000,砍树的日子总是漫长。,出来吧，机器人。你美丽的主人在召唤你。,边际森林,10066Bjsl,,1,2000,rain,1000,1,,
5000,3,26,100072,30000,真是好大的湖啊。,七仙女什么时候下凡，看本宝宝抱走它们的衣服。,大湖,10067Dh,,1,2000,rain,1000,1,,
5000,3,26,100073,30000,这个岛应该就是迪迪岛吧。,又是沼泽吗？,迪迪沼泽,10068Ddzz,,5,2000,miasm,1000,5,,
5000,3,37,100074,30000,希望这是一座死火山。,我很好奇，迪迪到底是谁。,迪迪火山,10069Ddhs,,4,2000,fire,1000,4,,
5000,3,26,100075,30000,我是来抓螃蟹的。,想吃蟹黄酱的话，就要自己动手哦。,迪迪沙滩,10070Ddst,,1,2000,rain,1000,1,,
5000,3,14,100076,30000,为什么不叫吹雪岛呢？,嗯，来一场大雪纷飞，我的心就化啦。,飘雪岛,10071Pxd,,2,2000,snow,500,2,,
5000,3,14,100077,30000,我要去看冰晶，快走吧。,快去寻一个最美的冰晶，那才配得上我不是吗。,冰晶岛,10072Bjd,,2,2000,snow,500,2,,
5000,3,14,100078,30000,我就问什么时候有雪盖奶茶喝。,雪盖，有吃的吗？,雪盖半岛,10073Xgbd,,2,2000,snow,500,2,,
5000,3,26,100079,30000,来打几只平原野猪练练手吧。,所以，这里就是大陆中央吗？地图上明明不是呀。,中央平原,10074Zypy,,1,2000,rain,1000,1,,
5000,3,26,100080,30000,感受一下南方的空气。,南风在这轻抚我的秀发。,南部平原,10075Nbpy,,1,2000,rain,1000,1,,
5000,3,14,100081,30000,下雪吧，我就在这等着。,这地方名字不错，我满意。,南雪岛,10076Nxd,,2,2000,snow,500,2,,
5000,3,26,100082,30000,孩子们玩的地方吗？,宝宝还小。,童真沙滩,10077Tzst,,1,2000,rain,1000,1,,
5000,3,26,100083,30000,嗯，没看出来这地方的起名原因。,好啦，这个岛是本宝宝的啦，啥也不说，造个家吧。,童真岛,10078Tzd,,1,2000,rain,1000,1,,
5000,3,26,100084,30000,巨大的树木也遮挡不住我追寻希望的视线。,这里的树都好大只哦。,巨木之森,10079Jmzs,,1,2000,rain,1000,1,,
5000,3,26,100085,30000,真是没品位的取名方式，好歹叫个伯里克斯之类的吧。,我不喜欢在森林里呆着不动，真的。,条形森林,10080Txsl,,1,2000,rain,1000,1,,
5000,3,30,100086,30000,这地方很烫脚欸，快走吧。,请别把一个如花似玉的女孩放到烤炉里。,火焰沙漠,10081Hysm,,3,2000,wind,1000,3,,
5000,3,37,100087,30000,那就让我看看火从哪里来的吧。,我们不是来挖矿的吗？,燃火山脉,10082Rhsm,,4,2000,fire,1000,4,,
5000,3,26,100088,30000,看我弯弓射大雕。,难得遇上一个半岛欸。好好逛一逛吧。,弯弓半岛,10083Wgbd,,1,2000,rain,1000,1,,
5000,3,26,100089,30000,什么奇葩的名字都有啊。,所以说我才不喜欢爬山啊，老是碰到一些怪名字的山。,勾形山脉,10084Gxsm,,1,2000,rain,1000,1,,
5000,3,14,100090,30000,我就问把我丢在寒冷的风中不管真的好吗？,冷冷的冰雨在胡乱的拍，现在我想拍拍你，我好冷呀。,冰晶群岛,10085Bjqd,,2,2000,snow,500,2,,
5000,3,26,100091,30000,看来这个岛上没什么能让我留恋的东西。,这个岛太奇怪了吧。,沼泽岛,10086Zzd,,5,2000,miasm,1000,5,,
5000,3,26,100092,30000,嗯，好像冲浪啊。,我想来个太阳浴。你觉得怎么样？,西风沙滩,10087Xfst,,1,2000,rain,1000,1,,
5000,3,30,100093,30000,奇怪的沙漠。,沙漠里可是有干尸的，快离开这里吧。,山地沙漠,10088Sdsm,,3,2000,wind,1000,3,,
5000,3,26,100094,30000,我可不相信自己会迷失其中。,我可是路痴，快出去吧，难道这么快就找不到路了吗？,迷失森林,10089Mssl,,1,2000,rain,1000,1,,
5000,3,14,100095,30000,嗯，我还没见过真的烟斗呢。,看来我来错地方啦，嘿，我们回家吧。,烟斗冰原,10090Ydxy,,2,2000,snow,500,2,,
5000,3,26,200001,20000,"香蕉岛果然果然很多香蕉,听说吃了香蕉可以促消化","香蕉岛果然果然很多香蕉,这岛不好找，累死了",香蕉岛,shuke_XiangJiaoDao,,1,2000,rain,1000,1,隐藏世外的香蕉岛,这是一座长满了香蕉的岛屿，能发现这里的人都不简单
5000,3,14,200002,20000,这座冰岛很冷，最好不要长久停留,这座冰岛很冷，最好不要长久停留,北方冰岛,shuke_BFBD,,2,2000,snow,500,2,,遥远的北方，有一座冰岛，传说能到达这里的人，必然是经历了一段冒险
5000,3,14,200003,20000,我重要找到了传说中的冰窟，不容易,我重要找到了传说中的冰窟，不容易,隐世冰窟,shuke_Ysbk,,2,2000,snow,500,2,,隐藏在书本里的冰窟，传说这里能寻得许多宝藏
