物件ID1,物件名称1,素材分组,"类型
专门用于前置物件判定
还有代码块类型筛选判断","建筑背包分类
（素材库的分类）",素材标签,Entity的Icon,Entity的描述,纹理1,补充纹理,动画名字,物件逻辑投影,建造高度,属性控件,代码库,行走矮边高,行走高边高,物件高边 ,通行方向,是否是地块,idle效果,场景效果根锚点,,光效,光效锚点偏移,掉落,素材库展示类型,正视角素材库ICON,正视角地图纹理,正视角地图建造高度,正视角地图行走矮边高,正视角地图行走高边高,正视角地图效果根锚点,正视角地图光效锚点偏移,"资源类型
1：2D贴图（默认）
2：2D动画
3：3D模型","资源路径
- 不用后缀
- 相对各自文件夹目录",朝向相机,"是否水平放置
- 比如地板
- 对3D无效"
8100006,机械方块1,8100006,5,1,科技,zxob_jixie_01,机械方块1,zxob_jixie_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100007,机械方块2,8100006,5,1,科技,zxob_jixie_02,机械方块2,zxob_jixie_02,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100008,机械方块3,8100006,5,1,科技,zxob_jixie_03,机械方块3,zxob_jixie_03,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100009,机械方块4,8100006,5,1,科技,zxob_jixie_04,机械方块4,zxob_jixie_04,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100010,鲤鱼方块1,8100010,5,1,鱼,zxob_liyu_01,鲤鱼方块1,zxob_liyu_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100011,鲤鱼方块2,8100010,5,1,鱼,zxob_liyu_02,鲤鱼方块2,zxob_liyu_02,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100012,鲤鱼方块3,8100010,5,1,鱼,zxob_liyu_03,鲤鱼方块3,zxob_liyu_03,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100013,鲤鱼方块4,8100010,5,1,鱼,zxob_liyu_04,鲤鱼方块4,zxob_liyu_04,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100014,木方块,,5,1,木,zxob_mu_01,木方块,zxob_mu_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100015,岩石方块1,8100015,5,1,石,zxob_shitou_01,岩石方块1,zxob_shitou_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100016,岩石方块2,8100015,5,1,石,zxob_shitou_02,岩石方块2,zxob_shitou_02,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100017,岩石方块3,8100015,5,1,石,zxob_shitou_03,岩石方块3,zxob_shitou_03,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100018,岩石方块4,8100015,5,1,石,zxob_shitou_04,岩石方块4,zxob_shitou_04,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100019,岩石方块5,8100015,5,1,石,zxob_shitou_05,岩石方块5,zxob_shitou_05,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100020,太阳方块,,5,1,太阳,zxob_taiyang_01,太阳方块,zxob_taiyang_01,,,15,60,10001,1002,65,65,0,15,,,,,"f4ff98,100,1",,,1,,,,,,,,,,1,
8100021,乌云方块,,5,1,云,zxob_wuyun_01,乌云方块,zxob_wuyun_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100022,月亮方块,,5,1,月,zxob_yueliang_01,月亮方块,zxob_yueliang_01,,,15,60,10001,1002,65,65,0,15,,,,,"9271ff,100,1",,,1,,,,,,,,,,1,
8100023,云朵方块,,5,1,云,zxob_yun_01,云朵方块,zxob_yun_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100024,砖方块1,8100024,5,1,砖,zxob_zhuan_01,砖方块1,zxob_zhuan_01,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100025,砖方块2,8100024,5,1,砖,zxob_zhuan_02,砖方块2,zxob_zhuan_02,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100026,砖方块3,8100024,5,1,砖,zxob_zhuan_03,砖方块3,zxob_zhuan_03,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100027,砖方块4,8100024,5,1,砖,zxob_zhuan_04,砖方块4,zxob_zhuan_04,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
8100028,砖方块5,8100024,5,1,砖,zxob_zhuan_05,砖方块5,zxob_zhuan_05,,,15,60,10001,1002,65,65,0,15,,,,,,,,1,,,,,,,,,,1,
10000101,8升沙漏,10000101,5,2,"埃及,沙漏,雕像",FengYouWT_shalou8_00ic,8升沙漏,FengYouWT_shalou8_00,,,"15,15,15;15,15,15;15,15,15",460,10001,1002,460,460,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000102,5升沙漏,10000101,5,2,"埃及,沙漏,雕像",FengYouWT_shalou5_00ic,5升沙漏,FengYouWT_shalou5_00,,,"15,15,15;15,15,15;15,15,15",360,10001,1002,360,360,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000103,3升沙漏,10000101,5,2,"埃及,沙漏,雕像",FengYouWT_shalou3_00ic,3升沙漏,FengYouWT_shalou3_00,,,"15,15,15;15,15,15;15,15,15",330,10001,1002,330,330,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000104,开关沙漏,,5,2,"埃及,开关,沙漏",FengYouWT_KGSL_00ic,开关沙漏,FengYouWT_KGSL_00,,,"15,15",55,10001,1002,55,55,0,"0,0",,,,,,,,1,,,,,,,,,,1,
10000105,直渠道,,5,1,沟渠,FengYouWT_ZQD_00ic,直渠道,FengYouWT_ZQD_00,,,"15,15,15",1,10001,1002,1,1,0,"15,15,15",,,,,,,,1,,,,,,,,,,1,
10000106,左上转角渠道,10000106,5,1,沟渠,FengYouWT_ZSQD_00ic,左上转角渠道,FengYouWT_ZSQD_00,,,"15,15,15;15,15,15;15,15,15",1,10001,1002,1,1,0,"15,15,15;15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
10000107,左下转角渠道,10000106,5,1,沟渠,FengYouWT_ZXQD_00ic,左下转角渠道,FengYouWT_ZXQD_00,,,"15,15,15;15,15,15;15,15,15",1,10001,1002,1,1,0,"15,15,15;15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
10000108,右上转角渠道,10000106,5,1,沟渠,FengYouWT_YSQD_00ic,右上转角渠道,FengYouWT_YSQD_00,,,"15,15,15;15,15,15;15,15,15",1,10001,1002,1,1,0,"15,15,15;15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
10000109,右下转角渠道,10000106,5,1,沟渠,FengYouWT_YXQD_00ic,右下转角渠道,FengYouWT_YXQD_00,,,"15,15,15;15,15,15;15,15,15",1,10001,1002,1,1,0,"15,15,15;15,15,15;15,15,15",,,,,,,,1,,,,,,,,,,1,
10000110,沙漏踏板,,5,1,"埃及,地板",FengYouWT_SLTB_00ic,沙漏踏板,FengYouWT_SLTB_00,,,15,1,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,1,
10000111,沙石1,10000111,5,1,"埃及,石块",FengYouWT_SS1_00ic,沙石1,FengYouWT_SS1_00,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,1,
10000112,沙石2,10000111,5,1,"埃及,石块",FengYouWT_SS2_00ic,沙石2,FengYouWT_SS2_00,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,1,
10000113,沙石3,10000111,5,1,"埃及,石块",FengYouWT_SS3_00ic,沙石3,FengYouWT_SS3_00,,,15,60,10001,1002,60,60,0,15,,,,,,,,1,,,,,,,,,,1,
10000114,边缘砖块,,5,1,"埃及,石块",FengYouWT_BYZK_00ic,边缘砖块,FengYouWT_BYZK_00,,,"15,15",35,10001,1002,35,35,0,"15,15",,,,,,,,1,,,,,,,,,,1,
10000115,阻挡图腾,,5,9,"埃及,图腾,雕像,柱子",FengYouWT_ZDTT_00ic,阻挡图腾,FengYouWT_ZDTT_00,,,15,190,10001,1002,190,190,0,15,,,,,,,,1,,,,,,,,,,,
10000116,装饰石柱,,5,9,"埃及,石柱",FengYouWT_ZSZZ_00ic,装饰石柱,FengYouWT_ZSZZ_00,,,15,415,10001,1002,415,415,0,15,,,,,,,,1,,,,,,,,,,,
10000117,埃及带草水壶,,5,9,"埃及,花盆",aj_1_1_01ic,埃及带草水壶,aj_1_1_01,,,15,160,10001,1002,160,160,0,0,,,,,,,,1,,,,,,,,,,,
10000118,埃及金盆,,5,9,"埃及,盆",aj_1_1_02ic,埃及金盆,aj_1_1_02,,,15,20,10001,1002,20,20,0,0,,,,,,,,1,,,,,,,,,,,
10000119,埃及圆石柱,,5,9,"埃及,柱子",aj_1_1_03ic,埃及圆石柱,aj_1_1_03,,,15,260,10001,1002,260,260,0,0,,,,,,,,1,,,,,,,,,,,
10000120,埃及黑水壶,,5,9,"埃及,罐子",aj_1_1_04ic,埃及黑水壶,aj_1_1_04,,,15,74,10001,1002,74,74,0,0,,,,,,,,1,,,,,,,,,,,
10000121,埃及双水壶,,5,9,"埃及,罐子",aj_1_1_05ic,埃及双水壶,aj_1_1_05,,,15,85,10001,1002,85,85,0,0,,,,,,,,1,,,,,,,,,,,
10000122,埃及小草,,5,4,"埃及,草",aj_1_1_010ic,埃及小草,aj_1_1_10,,,15,8,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000123,埃及枯树,,5,4,"埃及,枯树",aj_1_1_011ic,埃及枯树,aj_1_1_11,,,15,90,10001,1002,90,90,0,0,,,,,,,,1,,,,,,,,,,1,
10000124,埃及小石头,,5,9,"埃及,石",aj_1_1_012ic,埃及小石头,aj_1_1_12,,,15,1,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,,
10000125,埃及楼梯,,5,1,"埃及,楼梯",aj_1_2_01ic,埃及楼梯,aj_1_2_01,,,"15,15",60,10001,1002,1,60,8,"10,10",,,,,,,,1,,,,,,,,,,1,
10000126,埃及石墙,,5,1,"埃及,石墙",aj_1_2_02ic,埃及石墙,aj_1_2_02,,,"15,15",215,10001,1002,215,215,0,"0,0",,,,,,,,1,,,,,,,,,,1,
10000127,埃及狮身人面墙,,5,9,"埃及,雕像",aj_1_3_01ic,埃及狮身人面墙,aj_1_3_01,,,"15,15,15",280,10001,1002,280,280,0,"0,0,0",,,,,,,,1,,,,,,,,,,,
10000128,埃及大石板,,5,1,"埃及,石板",aj_2_2_01ic,埃及大石板,aj_2_2_01,,,"15,15;15,15",60,10001,1002,60,60,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
10000129,埃及宝箱,,5,1,"埃及,宝箱",aj_2_2_02ic,埃及宝箱,aj_2_2_02,,,"15,15;15,15",90,10001,1002,90,90,0,"0,0;0,0",,,,,,,,1,,,,,,,,,,1,
10000130,埃及大地板,,5,1,"埃及,地板",aj_2_2_03ic,埃及大地板,aj_2_2_03,,,"15,15;15,15",5,10001,1002,5,5,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
10000131,埃及木乃伊墙,,5,1,"埃及,雕像,装饰墙",aj_3_2_01ic,埃及木乃伊墙,aj_3_2_01,,,"15,15;15,15;15,15",236,10001,1002,236,236,0,"0,0;0,0;0,0",,,,,,,,1,,,,,,,,,,1,
10000132,埃及复活石,,5,2,"埃及,雕像",aj_3_3_01ic,埃及复活石,aj_3_3_01,,,"15,15,15;15,15,15;15,15,15",335,10001,1002,335,335,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000133,埃及神鸟雕像,,5,2,"埃及,雕像",aj_4_4_01ic,埃及神鸟雕像,aj_4_4_01,,,"15,15,15,15;15,15,15,15;15,15,15,15;15,15,15,15",250,10001,1002,250,250,0,"0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0",,,,,,,,1,,,,,,,,,,1,
10000134,大沙漏,10000134,5,2,"埃及,沙漏,雕像",FengYouWT_shalouDa_00ic,大沙漏,FengYouWT_shalouDa_00,,,"15,15,15;15,15,15;15,15,15",550,10001,1002,550,550,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000135,中沙漏,10000134,5,2,"埃及,沙漏,雕像",FengYouWT_shalouZhong_00ic,中沙漏,FengYouWT_shalouZhong_00,,,"15,15,15;15,15,15;15,15,15",390,10001,1002,390,390,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000136,小沙漏,10000134,5,2,"埃及,沙漏,雕像",FengYouWT_shalouXiao_00ic,小沙漏,FengYouWT_shalouXiao_00,,,"15,15,15;15,15,15;15,15,15",320,10001,1002,320,320,0,"0,0,0;0,0,0;0,0,0",,,,,,,,1,,,,,,,,,,1,
10000201,变化火柱,,5,9,石柱,QiQiqoWT_HuoZhu_00ic,变化火柱,QiQiqoWT_HuoZhu_00,,,15,95,10001,1002,95,95,0,0,,,,,,,,1,,,,,,,,,,,
10000202,可建造水块,,7,-2,,QiQiqoWT_KeJianShui_00ic,可建造水块,QiQiqoWT_KeJianShui_00,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000203,四格桥,,2,1,,QiQiqoWT_LiangGeQiao_00ic,四格桥,QiQiqoWT_LiangGeQiao_00,,,"15,15;15,15",35,10001,1002,35,35,0,"15,0;15,0",,,,,,,,1,,,,,,,,,,1,
10000204,七桥欧拉NPC,,5,9,,QiQiqoWT_OuL_00ic,七桥欧拉NPC,QiQiqoWT_OuL_00,,,15,186,10001,1002,186,186,0,0,,,,,,,,1,,,,,,,,,,,
10000205,四格桥转角,,2,1,,QiQiqoWT_GDQiao_00ic,四格桥转角,QiQiqoWT_GDQiao_00,,,"15,15;15,15",35,10001,1002,35,35,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
10000206,四节点黑板一,10000206,5,9,,QiQiqoWT_SQHB_00ic,四节点黑板一,QiQiqoWT_SQHB_02,,,"15,15,15,15;15,15,15,15",120,10001,1002,120,120,0,"0,0,0,0;0,0,0,0",,,,,,,,1,,,,,,,,,,,
10000207,四节点黑板二,10000206,5,9,,QiQiqoWT_SQHB_01ic,四节点黑板二,QiQiqoWT_SQHB_01,,,"15,15;15,15;15,15;15,15",120,10001,1002,120,120,0,"0,0;0,0;0,0;0,0",,,,,,,,1,,,,,,,,,,,
10000208,五节点黑板一,10000206,5,9,,QiQiqoWT_WQHB_00ic,五节点黑板一,QiQiqoWT_WQHB_00,,,"15,15;15,15;15,15;15,15",120,10001,1002,120,120,0,"0,0;0,0;0,0;0,0",,,,,,,,1,,,,,,,,,,,
10000209,五节点黑板二,10000206,5,9,,QiQiqoWT_WQHB_01ic,五节点黑板二,QiQiqoWT_WQHB_01,,,"15,15;15,15;15,15;15,15",120,10001,1002,120,120,0,"0,0;0,0;0,0;0,0",,,,,,,,1,,,,,,,,,,,
10000210,重置按钮,,5,8,按钮,QiQiqoWT_CZAN_00ic,重置按钮,QiQiqoWT_CZAN_00,,,15,8,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000211,七桥计数器,,5,8,数字,QiQiqoWT_QQJSQ_00ic,七桥计数器,QiQiqoWT_QQJSQ_00,,,15,60,10001,1002,60,60,0,0,,,,,,,,1,,,,,,,,,,1,
10000212,七桥装饰水1,10000212,7,-2,,QiQiqoWT_KeJianShui_01ic,七桥装饰水1,QiQiqoWT_KeJianShui_01,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000213,七桥装饰水2,10000212,7,-2,,QiQiqoWT_KeJianShui_02ic,七桥装饰水2,QiQiqoWT_KeJianShui_02,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000214,七桥装饰水3,10000212,7,-2,,QiQiqoWT_KeJianShui_03ic,七桥装饰水3,QiQiqoWT_KeJianShui_03,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000215,七桥装饰水4,10000212,7,-2,,QiQiqoWT_KeJianShui_04ic,七桥装饰水4,QiQiqoWT_KeJianShui_04,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000216,七桥装饰水5,10000212,7,-2,,QiQiqoWT_KeJianShui_05ic,七桥装饰水5,QiQiqoWT_KeJianShui_05,,,15,40,10001,1002,40,40,0,0,1,,,,,,,1,Z_zxcell_cy2_DK,Z_zxcell_cy2_DK,75,75,75,,,,,1,
10000217,抽象黑板正确,10000217,5,9,,QiQiqoWT_CXHBDui_00ic,抽象黑板正确,QiQiqoWT_CXHBDui_00,,,"15,15",120,10001,1002,120,120,0,"0,0",,,,,,,,1,,,,,,,,,,,
10000218,抽象黑板错误,10000217,5,9,,QiQiqoWT_CXHBCuo_00ic,抽象黑板错误,QiQiqoWT_CXHBCuo_00,,,"15,15",120,10001,1002,120,120,0,"0,0",,,,,,,,1,,,,,,,,,,,
10000219,奖励金币,,5,8,金币,QiQiqoWT_JLJinBi_00ic,奖励金币,QiQiqoWT_JLJinBi_00,,,15,8,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,1,
10000220,数字地块,10000220,5,,,QiQiqoWT_ShuZiDK_00ic,数字地块,QiQiqoWT_ShuZiDK_00,,,"15,15;15,15",65,10001,1002,65,65,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
10000221,地面数字,10000220,5,8,,QiQiqoWT_ShuZiDK_00ic,地面数字,QiQiqoWT_DiMianSZ_00,,,"15,15;15,15",1,10001,1002,1,1,0,"15,15;15,15",,,,,,,,1,,,,,,,,,,1,
10000222,禁止通行,10000222,5,8,标识,QiQiqoWT_BuKeTX_00ic,禁止通行,QiQiqoWT_BuKeTX_00,,,15,105,10001,1002,105,105,0,0,,,,,,,,1,,,,,,,,,,1,
10000223,准许通行,10000222,5,8,标识,QiQiqoWT_KeTX_00ic,准许通行,QiQiqoWT_BuKeTX_01,,,15,1,10001,1002,1,1,0,15,,,,,,,,1,,,,,,,,,,1,
10000224,侧上箭头,10000224,5,8,"标识,箭头",QiQiqoWT_ZuoShangJT_00ic,侧上箭头,QiQiqoWT_ZuoShangJT_00,,,15,92,10001,1002,92,92,0,0,,,,,,,,1,,,,,,,,,,1,
10000225,侧下箭头,10000224,5,8,"标识,箭头",QiQiqoWT_ZuoxiaJT_00ic,侧下箭头,QiQiqoWT_ZuoxiaJT_00,,,15,92,10001,1002,92,92,0,0,,,,,,,,1,,,,,,,,,,1,
10000226,投影侧上,10000226,5,8,"标识,箭头",QiQiqoWT_TouYingJT2_00ic,投影侧上,QiQiqoWT_TouYingJT2_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000227,投影侧下,10000226,5,8,"标识,箭头",QiQiqoWT_TouYingJT1_00ic,投影侧下,QiQiqoWT_TouYingJT1_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000228,侧上牌子,10000228,5,8,"标识,箭头",QiQiqoWT_PaiZiZS_00ic,侧上牌子,QiQiqoWT_PaiZiZS_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000229,侧下牌子,10000228,5,8,"标识,箭头",QiQiqoWT_PaiZiZX_00ic,侧下牌子,QiQiqoWT_PaiZiZX_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000230,投影准许,10000230,5,8,标识,QiQiqoWT_TouYingBZ1_00ic,投影准许,QiQiqoWT_TouYingBZ1_00,,,15,1,10001,1002,1,1,0,0,,,,,,,,1,,,,,,,,,,1,
10000231,投影禁止,10000230,5,8,标识,QiQiqoWT_TouYingBZ2_00ic,投影禁止,QiQiqoWT_TouYingBZ2_00,,,15,105,10001,1002,105,105,0,0,,,,,,,,1,,,,,,,,,,1,
10000232,禁止标志,10000232,5,8,标识,QiQiqoWT_JinZhiBZ1_00ic,禁止标志,QiQiqoWT_JinZhiBZ1_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000233,禁止标志2,10000232,5,8,标识,QiQiqoWT_JinZhiBZ2_00ic,禁止标志2,QiQiqoWT_JinZhiBZ2_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000234,允许标志,,5,8,标识,QiQiqoWT_JinZhiBZ3_00ic,允许标志,QiQiqoWT_JinZhiBZ3_00,,,15,100,10001,1002,100,100,0,0,,,,,,,,1,,,,,,,,,,1,
10000235,W按钮,10000235,5,8,,QiQiqoWT_QQJPW_00ic,W按钮,QiQiqoWT_QQJPW_00,,,15,50,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000236,A按钮,10000235,5,8,,QiQiqoWT_QQJPA_00ic,A按钮,QiQiqoWT_QQJPA_00,,,15,50,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000237,S按钮,10000235,5,8,,QiQiqoWT_QQJPS_00ic,S按钮,QiQiqoWT_QQJPS_00,,,15,50,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000238,D按钮,10000235,5,8,,QiQiqoWT_QQJPD_00ic,D按钮,QiQiqoWT_QQJPD_00,,,15,50,10001,1002,8,8,0,15,,,,,,,,1,,,,,,,,,,1,
10000239,七桥抽象黑板,,5,9,黑板,QiQiqoWT_QQCXHB_00ic,七桥抽象黑板,QiQiqoWT_QQCXHB_00,,,"15,15,15,15;15,15,15,15;15,15,15,15;15,15,15,15",300,10001,1002,8,8,0,"15,15,0,0;15,0,0,0;0,0,0,15;0,0,15,15",,,,,,,,1,,,,,,,,,,,
10000240,移动代码块,10000240,5,8,代码块,QiQiqoWT_codeBlock1ic,移动代码块,QiQiqoWT_codeBlock1,,,"15,15",35,10001,1002,35,35,0,"0,0",,,,,,,,0,,,,,,,,,,,
10000241,变化代码块,10000240,5,8,代码块,QiQiqoWT_codeBlock2ic,变化代码块,QiQiqoWT_codeBlock2,,,"15,15",35,10001,1002,35,35,0,"0,0",,,,,,,,0,,,,,,,,,,,
10000242,开门代码块,10000240,5,8,代码块,QiQiqoWT_codeBlock3ic,开门代码块,QiQiqoWT_codeBlock3,,,"15,15",35,10001,1002,35,35,0,"0,0",,,,,,,,0,,,,,,,,,,,
10000243,helloWorld代码块,10000240,5,8,代码块,QiQiqoWT_codeBlock4ic,helloWorld代码块,QiQiqoWT_codeBlock4,,,"15,15",35,10001,1002,35,35,0,"0,0",,,,,,,,0,,,,,,,,,,,
10000244,开始代码块,10000240,5,8,代码块,QiQiqoWT_codeBlock5ic,开始代码块,QiQiqoWT_codeBlock5,,,"15,15",35,10001,1002,35,35,0,"0,0",,,,,,,,0,,,,,,,,,,,
10000245,代码块底纹-开始,10000245,10,8,代码块,QiQiqoWT_codeBlock6ic,代码块底纹1,QiQiqoWT_codeBlock6,,,"15,15",0,10001,1002,0,0,0,"15,15",,,,,,,,0,,,,,,,,,,,
10000246,代码块底纹-当被碰到,10000245,10,8,代码块,QiQiqoWT_codeBlock7ic,代码块底纹2,QiQiqoWT_codeBlock9,,,"15,15",0,10001,1002,0,0,0,"15,15",,,,,,,,0,,,,,,,,,,,
10000247,代码块连线1,10000247,10,1,线,QiQiqoWT_thread1,代码块连线1,QiQiqoWT_thread1,,,15,0,10001,1002,0,0,0,15,,,,,,,,0,,,,,,,,,,,
10000248,代码块连线2,10000247,10,1,线,QiQiqoWT_thread2,代码块连线2,QiQiqoWT_thread2,,,15,0,10001,1002,0,0,0,15,,,,,,,,0,,,,,,,,,,,
10000249,代码块连线3,10000247,10,1,线,QiQiqoWT_thread3,代码块连线3,QiQiqoWT_thread3,,,15,0,10001,1002,0,0,0,15,,,,,,,,0,,,,,,,,,,,
