索引1,值,字符串值,数组值1,数组字符串,备注1(模块),备注2
1007038,,,"35,40,-2,0",,环境和天气系统,炎热的温度区间二（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1007039,,,"41,999,-3,0",,环境和天气系统,炎热的温度区间三（温度下限，温度上限，饥饿度变化值，饥渴度变化值）
1008001,,,,"hit,run,idle",角色动作,"空手角色动作(受击,跑步,待机)"
1008002,,,,"hit,runCloseCombat,idleCloseCombat",角色动作,"拿单手剑角色动作(受击,跑步,待机)"
1008003,,,,"hit,runCloseCombat,idleCloseCombat",角色动作,"拿斧头角色动作(受击,跑步,待机)"
1008004,,,,"hit,runCloseCombat,idleCloseCombat",角色动作,"拿锄头角色动作(受击,跑步,待机)"
1008005,,,,"hit,runArrow,idleArrow",角色动作,"拿弓箭角色动作(受击,跑步,待机)"
1008006,,,,"hitShortGun,runShortGun,idleShortGun",角色动作,"拿单手枪角色动作(受击,跑步,待机)"
1008007,,,,"hitLongGun,runLongGun,idleLongGun",角色动作,"拿双手枪角色动作(受击,跑步,待机)"
1009001,1,,,,角色属性,饥饿值一次减少的值
1009002,0,,,,角色属性,饥渴值一次减少的值
1009003,9999999,,,,角色属性,饥饿值减少时间（毫秒）
1009004,9999999,,,,角色属性,饥渴值减少时间（毫秒）
1009005,14,,,,领地回收物品的时间（单位/天）,
1009006,1,,,,角色属性,饥饿状态下一次减少的血量
1009007,1,,,,角色属性,饥渴状态下一次减少的血量
1009008,999999999,,,,角色属性,饥饿状态多久减少一次血量（毫秒）
1009009,999999999,,,,角色属性,饥渴状态多久减少一次血量（毫秒）
1009010,1,,,,角色属性,游泳一像素减多少疲劳度
1009011,100,,,,角色属性,游泳速度（像素/秒）
1009012,100,,,,角色属性,在岸上1秒中回复多少疲劳值
1009013,5000,,,,角色属性,角色死亡复活后，初始的饥饿度（万分比）
1009014,5000,,,,角色属性,角色死亡复活后，初始的饥渴度（万分比）
1009015,,,"1000,2500",,角色属性,角色死亡复活后，不同复活方式的初始生命值，依次为原地、主城（万分比）
1009016,2000,,,,工作台多少像素可被使用,
1009017,1,,,,合成占用,
1009018,1,,,,合成占用,
1009019,1,,,,合成占用,
1009020,1,,,,合成占用,
1009021,1,,,,合成占用,
1009022,1,,,,合成占用,
1009023,1,,,,合成占用,
1009024,1,,,,合成占用,
1009025,1,,,,合成占用,
1009026,1,,,,合成占用,
1009027,1,,,,合成占用,
1009028,500,,,,每行走一米消耗燃料的数值，万分比,
1009029,,,,,木斧、木镐、木剑、家园传送点、领地基石、源码能源装置，正常体验不用礼包,角色初始物品
1010001,,好饿啊，我必须马上进食,,,角色说话,角色说话-10%饥饿度时
1010002,,马上要饿晕了，我必须马上进食,,,角色说话,角色说话-0饥饿度时
1010003,,好渴啊，我必须马上喝水,,,角色说话,角色说话-10%饥渴度时
1010004,,马上要渴死了，我必须马上喝水,,,角色说话,角色说话-0饥渴度时
1011001,,,,,聊天,附近频道气泡停留时间
1011002,1000,,,,1000,机器人死亡复活后血量残余数量，万分比
1011003,600,,,,建造时zindex  Z轴限定高度,玩家建造累高时不能超过这个像素值
1011004,50,,,,单个机器人代码块上限数量,
1011005,8,,,,单个机器人事件代码块上限数量,
1011006,1,,,,养殖对象上限数量（只算怪物的）,
1011007,5,,,,单分线机器人运行数量,
1011008,600,,,,机器人处在运行状态，多少秒会扣一点燃料,
1011009,,,,,占用,
1011010,,,,,占用,
1011011,10013,,,,出现引导点击“游戏”按钮，需完成的任务ID,新手引导弱引导提示占用
1011012,,,,,,新手引导弱引导提示占用
1011013,,,,,,新手引导弱引导提示占用
1011014,,,,,,新手引导弱引导提示占用
1011015,,,,,,新手引导弱引导提示占用
1011016,,,,,,新手引导弱引导提示占用
1011017,,,,,,新手引导弱引导提示占用
1011018,,,,,,新手引导弱引导提示占用
1011019,,,,,,新手引导弱引导提示占用
1011020,50,,,,邮件上限数量,邮件上限
1011021,10011,,,,出现引导点击“机器人”的按钮需完成的任务ID,
1011022,600000,,,,机器人改名时间，单位毫秒,
1011023,5000,,,,宠物的思考时间min,唐永占用
1011024,18000,,,,宠物的思考时间max,唐永占用
1011025,1000,,,,怪物漫游最低值,唐永占用
1011026,5000,,,,怪物漫游最高值,唐永占用
1011027,300000,,,, 主动攻击型怪物主动搜索目标的时间间隔,唐永占用
1011028,150000,,,,怪物追击距离(平方值),唐永占用
1011029,3000000,,,,怪物脱战时长,唐永占用
1011030,100,,,,返回时每帧回复的血量,唐永占用
1011031,5000,,,,返回时长(ms）超过会立刻回到返回点,唐永占用
1011032,100000,,,,仇恨持续时长(ms),唐永占用
1011033,15000,,,,//视野半径平方值,唐永占用
1011034,100,,,,允许行走的高度差阈值,唐永占用
1011035,2000,,,,//服务器端坐标与客户端坐标误差允许的阈值(平方值，省计算),唐永占用
1011036,2106171,,2,,游戏机/2048--绑定的item,唐永占用
1011037,2106172,,3,,游戏机/数独绑定的item,唐永占用
1011038,2106173,,1,,游戏机/我要上西天绑定的item,唐永占用
1011039,2106174,,4,,游戏机/转你妹绑定的item,唐永占用
1011040,4030081,,,,绑定场景里的转转游戏机，varia表中,唐永占用
1011041,4030169,,2,,绑定场景里的2048游戏机，varia表中,唐永占用
1011044,2500,,4,,机器人响应玩家类操作代码块的范围，单位像素,唐永占用
1011045,1,,,,建造高度差值在这个值的时候，允许玩家建造,唐永占用
1011046,100,,,,服务器少于多少人显示空闲,唐永占用
1011047,80,,,,服务器大于多少人后显示排队,唐永占用
1011048,,,,,,唐永占用
1011049,,,,,,唐永占用
1011050,,,,,,唐永占用
1011051,,,,,,唐永占用
1011052,,,,,,唐永占用
1011053,,,,,,唐永占用
1011054,,,,,,唐永占用
1011055,,,,,,
1011056,3010094,,,,搬家基石ID,物品ID
1011057,3010093,,,,领地基石ID,物品ID
1012001,1,,,,装备,攻击减少耐久度
1012002,1,,,,装备,被攻击减少耐久度
1013000,1110005,,,,大世界源码删除枪,
1013001,1110003,,,,无限宇宙建造枪暂用,无限宇宙建造占用
1013002,1110004,,,,无限宇宙建造头盔暂用,无限宇宙建造占用
1013003,2400,,,,编辑器建造范围(20格)。,编辑器
1013004,3600,,,,领地外建造过期时间,无限宇宙建造占用
1013005,75,,,,无限宇宙虚空建造偏移值（用于让玩家建造时所见即所得）,无限宇宙建造占用
1013006,,,,,无限宇宙建造装备,无限宇宙建造占用
1013007,600000,,,,编辑器建造数量上限,编辑器
1014001,24,,,,万物编程文本控件每行文本限制字符数,编辑器
1014002,9,,,,编辑器输入数字控件最大位数,编辑器
1014003,8000022,,,,编辑器新建地图的第一个地块,编辑器
1014004,40001001,,,,领地出生点ID，用于标识学生出生点或领地生成点,编辑器
1014005,,,"200,200",,"大领地的边长,宽",编辑器
1014006,,,"100,100",,"中领地的边长,宽",编辑器
1014007,,,"50,50",,"小领地的边长,宽",编辑器
1014008,,空地图,,,基底模板-虚空的地图名字,编辑器
1014009,,mapModelXuKongCover,,,基底模板-虚空地图封面,编辑器
1014010,,草地,,,基底模板-草地的地图名字,编辑器
1014011,,mapModelGrassCover,,,基底模板-草地的地图封面,编辑器
1014012,,沙漠,,,基底模板-沙漠的地图名字,编辑器
1014013,,mapModelDesertCover,,,基底模板-沙漠的地图封面,编辑器
1014014,100,,,,玩家可保存自定义动画的动画数上限,编辑器
1014015,50,,,,玩家自定义动画的动画帧数上限,编辑器
1014016,300,,,,实体多选的数量上限,编辑器
1014017,600,,,,地形多选的数量上限.,编辑器
1014018,200,,,,每个物件最多添加的声音数量,编辑器
1014019,5000,,,,loading tips 更新时间,loading
1014050,,,"1014051, 1014052,1014053,1014054,1014055,1014056,1014057,1014058",,基底模板列表,编辑器
1014051,,,,"空地图,mapModelXuKongCover,",基底模板-虚空,编辑器
1014052,,,,"草地,map_caodi,88928955637180385_草地模板_77349178816087158_1590994561.gob",基底模板-草地,编辑器
1014053,,,,"公园,map_gongyuan,89010448514426849_公园模板_90178902252597590_1590991451.gob",基底模板-公园,编辑器
1014054,,,,"火星,map_huoxing,89046726861662177_火星模板_77349178816087158_1590994473.gob",基底模板-火星,编辑器
1014055,,,,"埃及法老,map_aiji,89043861766154209_埃及法老模板_90178902252597590_1590807603.gob",基底模板-埃及法老,编辑器
1014056,,,,"医院,map_yiyuan,88925366202148833_医院模板_77349178816087158_1590994616.gob",基底模板-医院,编辑器
1014057,,,,"运动场,map_yundonghui,89024371674327009_运动场模板_90178902252597590_1590830083.gob",基底模板-运动场,编辑器
1014058,,,,"细胞,map_xibao,89053800085596129_细胞模板_77349178816087158_1590994359.gob",基底模板-细胞,编辑器
1014059,,,"1014051,1014061",,课程模板列表,bellmaker
1014060,,,"1014101,1014109",,课程模板列表-正视角,bellmaker
1014061,,,,"5CIE通用模板,,5C1E通用模板_111215512062526628_94289171207698923_1601366048.gob",课程模板-5C1E,bellmaker
1014062,,,"30009005,30009006,30009007,30009008,30009009,30009010,30009011,30009012,30009013,30009014",,流程面板显示的流程点id,bellmaker
1014100,,,1014101,,正视角基底模板列表,编辑器
1014101,,,,"空地图,mapModelXuKongCover,",基底模板-虚空,
1014102,,,,"草地,map_caodi,",基底模板-草地,
1014103,,,,"公园,map_gongyuan,",基底模板-公园,
1014104,,,,"火星,map_huoxing,",基底模板-火星,
1014105,,,,"埃及法老,map_aiji,",基底模板-埃及法老,
1014106,,,,"医院,map_yiyuan,",基底模板-医院,
1014107,,,,"运动场,map_yundonghui,",基底模板-运动场,
1014108,,,,"细胞,map_xibao,",基底模板-细胞,
1014109,,,,"5C1E通用模板2D,,5C1E通用模板2D_111230832814908449_94289171207698923_1601368022.gob",课程模板-5C1E,bellmaker
1015001,1,,"60000, 90000",,"int值：非独立地块也能抖动概率，单位是百分比
 int[]值：地块idle抖动特效随机间隔时间区间 单位毫秒  小的在前",场景特效
1015002,,,"10000,30000",,草idle特效随机间隔时间区间 单位毫秒  小的在前,场景特效
1015003,,,"5000,15000",,源码矿石idle特效随机间隔时间区间 单位毫秒  小的在前,场景特效
1015004,,,"10000,30000",,普通矿石idle特效随机间隔时间区间 单位毫秒  小的在前,场景特效
1016001,100,,,,画板铅笔工具最大像素值,画板专用
1016002,10003,,,,无投影类型的画板物件对应的：控件库ID,画板专用
1016003,10001,,,,线投影类型的画板物件对应的：控件库ID,画板专用
1016004,10001,,,,面投影类型的画板物件对应的：控件库ID,画板专用
1016005,1004,,,,无投影类型的画板物件对应的：代码库ID,画板专用
1016006,1002,,,,线投影类型的画板物件对应的：代码库ID,画板专用
1016007,1002,,,,面投影类型的画板物件对应的：代码库ID,画板专用
1017001,400,,,,自由视角（上帝视角）下视角移动速度,老师上帝视角用
1018001,,"地板,1,墙面,2,功能,3,装饰,4,生物,5,武器,6,植物,7,房子,8,火柴,9,教室,10,垃圾分类,11,社区,12,社区小广场,13,体育场,14,图书馆,15,舞台,16,修理工坊,17",,,entity临时分类使用,
1018002,,,,"装备,5,消耗品,6,材料,7,其他,8,装饰,9",背包分类显示,
1019001,99999999,,,,mabot_cid,
1019002,1003,,,,老师cid,
1020001,,img_notFoundDel,,,物件删除替换物,版本更新特殊处理用
1021001,999,,,,领地和代码块模板,领地最大尺寸，rc共用
1021002,,,"0.9,1.3,0.5",,代码块显示倍率,初始值、最大值、最小值
1021003,,,"1.1,1.5,0.7",,多实体快速编码代码块显示倍率,初始值、最大值、最小值
1022001,9997,,"375,500,500,528,394,529,500,545,375,546,500,689,324,922,474,1075",,禁止区域,"禁止区域上角下角坐标，如 r1,c1,r2,c2"
1022002,,,"20,1,200",,区域场景半径,
1022003,,,"1,200",,区域场景半径范围限制,
1014110,10,,,,沉浸式显示内容同屏最大数量,bellmaker
1023001,3,,,,时间线默认时间轨数量,时间线
1024001,600000,,,,web日志自动上传间隔时间,
1025001,0,,,,传送带的默认朝向（只可配0，90，180，270）,传送带机制
1025002,,,40000001,,传送带CID,传送带机制
1025003,,,"40000002,40000003,40000004,40000005,40000006,40000007,40000008,40000009,40000010,40000011",,处理机以及中控等CID,传送带机制
8000001,100,,,,大世界地块生成时血量,
8000002,100,,,,大世界地块攻占后血量,
8000003,100,,,,大世界地块血量上限,
8000004,20,,,,大世界答题正确时对地块产生多少伤害,
8000005,,,"8000023,8000024,8000025",,大世界玩家领地地块资源,
8000006,30,,,,大世界答题时间上限,
8000007,720,,,,大世界玩家体力上限,
8000008,36,,,,大世界答题体力消耗,
8000009,1,,,,大世界体力回复数值（每分钟）,
8000010,,play.melandworld.com/index_exchange,,,大世界兑换按钮链接,
8000011,,https://www.youtube.com/channel/UCJeXCDjiNgBPx97UOZV4S4w,,,大世界how to play按钮链接,
8000012,,https://twitter.com/meland_ai,,,大世界Twitter分享按钮链接,
8000013,1000,,,,大世界道具放置价格（ditamin）,
8000014,,,"20,10000",,"大世界ticket land铸造价格（land数量,ditamin数量）",
8000015,30,,,,大世界商城上架默认持续时长,
8000016,80009999,,,,大世界第三方NFT占位道具id,
8000017,,,"300,540,720",,大世界第三方NFT放置价格（30天、60天、90天）,
8000018,5,,,,大世界每日登录活跃度,
8000019,1,,,,大世界每次答题正确奖励活跃度,
8000020,,,,"en-US:English,zh-CN:中文(中国),id-ID:Bahasa Indonesia,tr-TR:Türkçe,vi-VN:Tiếng Việt,ru-RU:русский",大世界答题翻译列表对应字符串值,
8000021,,,,"Free Access,Silver Access,Gold Access,Platinum Access",大世界质押等级,
8000022,,,"8,15,24,35",,大世界不同质押等级占领数量上限,
8000023,,,"250,300,1000,1500",,大世界不同质押等级每个领地每天产生的Ditamin数量,
8000024,,,"10,15,40,80",,大世界不同质押等级每次成功答题奖励数值,
8000025,20,,,,大世界用户地图上限,
8000026,1000,,,,场景音效能听到最远距离（距离主角），场景坐标系,
8000027,,GGGrasslands - Idle (Split)_mp3,,,产生掉落声音,
8000028,60,,,,攻击产生伤害的校正距离D（校正计算为技能攻击距离+攻击者身体半径+被攻击者身体半径+D）,
