物件ID,物件名称,Varia的Icon,Varia的描述,"类型
5.建筑物品
7.地块
8.资源（地图上刷出来的资源）
10.地板
11.墙面 
     1.普通墙面（自动建造会围绕着地板）
     2.栅栏（自动建造不围绕着地板）
     3.门（门后方不可建造其他物品）
12.窗户
17.地表（特指用于装饰地块的物件）",子类型,纹理1,补充纹理,行走矮边高,行走高边高,物件高边 ,物件逻辑投影,通行方向,物件形状,"是否多格物件（特指不切图装饰物）
1为多格物件
0不为多格物件","物件上是否可建造
0不能建造
1可以建造但不会被覆盖
2插旗时被删除",建造高度,"建造类型
1.储物类(ArchStorage)
2.制造类(ArchProduction)
3.提示类(ArchPrompt)
4.时间类(ArchProduction)
5.状态类(ArchStateSend)","制造id
对应自己制造类型表中的id",接受状态ids,功能扩展,地形类型,是否有缓动效果,场景效果根锚点,照亮范围,遮挡是否产生半透,不显示在代码块下拉中,idle效果,死亡效果
4020009,普通石墙,icob_wall2_1002109,Varia表的描述没配置,11,1,icob_wall2_1002109,icob_wall2_1002109_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020010,大理岩墙,icob_wall2_1002110,Varia表的描述没配置,11,1,icob_wall2_1002110,icob_wall2_1002110_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020011,花岗岩墙,icob_wall2_1002111,Varia表的描述没配置,11,1,icob_wall2_1002111,icob_wall2_1002111_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020012,安山岩墙,icob_wall2_1002112,Varia表的描述没配置,11,1,icob_wall2_1002112,icob_wall2_1002112_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020013,木制围墙,icob_wall_1005103,Varia表的描述没配置,11,2,icob_wall_1005103,,166,166,0,4,11,"1,1,4,11",0,0,0,,,,,0,,,,1,1,,
4020014,白围墙1,icob_wall_1005104,Varia表的描述没配置,11,2,icob_wall_1005104,,82,82,0,4,11,"1,1,4,11",0,0,0,,,,,0,,,,1,1,,
4020016,石制围墙,icob_wall_1005107,Varia表的描述没配置,11,2,icob_wall_1005107,,166,166,0,4,11,"1,1,4,11",0,0,0,,,,,0,,,,1,1,,
4020017,安山岩门,icob_door_1_close,Varia表的描述没配置,11,3,icob_door_1_close,icob_wall2_1002112_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020018,白桦木门,icob_door_2_close,Varia表的描述没配置,11,3,icob_door_2_close,icob_wall_bai_hua_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020019,大理石门,icob_door_3_close,Varia表的描述没配置,11,3,icob_door_3_close,icob_wall2_1002110_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020020,枫木门,icob_door_4_close,Varia表的描述没配置,11,3,icob_door_4_close,icob_wall2_1002108_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020021,花岗岩门,icob_door_5_close,Varia表的描述没配置,11,3,icob_door_5_close,icob_wall2_1002111_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020022,雪海松门,icob_door_6_close,Varia表的描述没配置,11,3,icob_door_6_close,icob_wall_mao_cao_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020023,普通木门,icob_door_7_close,Varia表的描述没配置,11,3,icob_door_7_close,icob_wall_pu_tong_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020024,普通石门,icob_door_8_close,Varia表的描述没配置,11,3,icob_door_8_close,icob_wall2_1002109_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020025,橡木门,icob_door_9_close,Varia表的描述没配置,11,3,icob_door_9_close,icob_wall_xiang_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4020026,云杉木门,icob_door_10_close,Varia表的描述没配置,11,3,icob_door_10_close,icob_wall_yun_shan_mu_qiang_p,166,166,0,4,11,"1,1,4,11",0,0,166,,,,,0,,,,1,1,,
4030008,熔炉,icob_furnace_1003008,Varia表的描述没配置,5,,icob_furnace_1003008,,120,120,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,300,1,1,,
4030015,邮箱,icob_maibox,Varia表的描述没配置,5,,icob_maibox,,128,128,0,15,15,"1,1,15,15",0,0,0,,,,,0,,,,1,1,,
4030020,烹饪锅,icob_cooking_pot_1003020,Varia表的描述没配置,5,,icob_cooking_pot_1003020,,95,95,0,15;15,0;0,"2,1,15,0",0,0,0,,,,,0,,,300,1,1,,
4030028,传送点,1003028,Varia表的描述没配置,17,,1003028,,1,1,0,"15,15;15,15","15,15;15,15","2,2,15,15",0,0,1,,,,,0,,,,1,1,,
4030033,船,icob_ship_1003033,Varia表的描述没配置,5,,icob_ship_1003033,,25,60,8,15;15,0;0,"2,1,15,0",0,0,0,,,,,0,,,,1,1,,
4030034,旗帜,icob_flag_1003034,Varia表的描述没配置,5,,icob_flag_1003034,,1,1,0,15,15,"1,1,15,15",0,0,0,,,,,0,,,,1,1,,
4030038,小推车,ob_cart_small_1003038,Varia表的描述没配置,5,,ob_cart_small_1003038,,62,124,4,15,0,"1,1,15,0",0,0,124,,,,,0,,,,1,1,,
4030061,橙色方块,icob_wall_cube_1003061,Varia表的描述没配置,5,,icob_wall_cube_1003061,,45,45,0,15,15,"1,1,15,15",0,0,60,,,,,0,,,,1,1,,
4030081,台式游戏机,icob_you_xi_ji_1,Varia表的描述没配置,5,,icob_you_xi_ji_1,,114,114,0,15,0,"1,1,15,0",0,0,114,,,,,0,,,,1,1,,
4030088,精致布艺餐桌,icob_table_jin_zhi_bu_yi_can_zuo,Varia表的描述没配置,5,,icob_table_jin_zhi_bu_yi_can_zuo,,68,68,0,"15,15;15,15","0,0;0,0","2,2,15,0",0,0,68,,,,,0,,,,1,1,,
4030126,大船,ob_ship_8,Varia表的描述没配置,5,,ob_ship_8,,195,195,0,"15,15;15,15;15,15;15,15","0,0;0,0;0,0;0,0","4,2,15,0",0,0,195,,,,,0,,,,1,1,,
4030127,斜纹木地板,icob_floor_1001102_ever,Varia表的描述没配置,10,,icob_floor_1001102_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030128,纵纹木地板,icob_floor_1001103_ever,Varia表的描述没配置,10,,icob_floor_1001103_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030129,精致枫木地板,icob_floor_1001104_ever,Varia表的描述没配置,10,,icob_floor_1001104_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030130,精致橡木地板,icob_floor_1001105_ever,Varia表的描述没配置,10,,icob_floor_1001105_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030131,精致白桦地板,icob_floor_1001106_ever,Varia表的描述没配置,10,,icob_floor_1001106_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030132,精致云杉地板,icob_floor_1001107_ever,Varia表的描述没配置,10,,icob_floor_1001107_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,7,,,,1,1,,
4030133,斜纹石地板,icob_floor_1001108_ever,Varia表的描述没配置,10,,icob_floor_1001108_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,1,1,,
4030134,精装大理石地板,icob_floor_1001109_ever,Varia表的描述没配置,10,,icob_floor_1001109_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,1,1,,
4030135,精装花岗岩地板,icob_floor_1001110_ever,Varia表的描述没配置,10,,icob_floor_1001110_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,1,1,,
4030136,精装安山岩地板,icob_floor_1001111_ever,Varia表的描述没配置,10,,icob_floor_1001111_ever,,1,1,0,15,15,"1,1,15,15",0,1,8,,,,,3,,,,1,1,,
4030137,土豆红烧肉,shi_wu_tu_dou,Varia表的描述没配置,5,,shi_wu_tu_dou,,8,8,0,15,15,"1,1,15,15",0,1,8,,,,,0,,,,1,1,,
4030138,西红柿蛋包饭,shi_wu_1,Varia表的描述没配置,5,,shi_wu_1,,8,8,0,15,15,"1,1,15,15",0,1,8,,,,,0,,,,1,1,,
4030155,白色旗帜,icob_flag_bai,Varia表的描述没配置,5,,icob_flag_bai,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030156,橙色旗帜,icob_flag_cheng,Varia表的描述没配置,5,,icob_flag_cheng,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030157,红色旗帜,icob_flag_hong,Varia表的描述没配置,5,,icob_flag_hong,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030158,黄色旗帜,icob_flag_huang,Varia表的描述没配置,5,,icob_flag_huang,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030159,蓝色旗帜,icob_flag_lan,Varia表的描述没配置,5,,icob_flag_lan,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030160,紫色旗帜,icob_flag_zi,Varia表的描述没配置,5,,icob_flag_zi,,1,1,0,15,15,"1,1,15,15",0,0,100,,,,,0,,,,1,1,,
4030169,2048游戏机,icob1173ThqbyGame,一个可以完游戏的游戏机,5,,icob1173ThqbyGame,,100,100,0,15,0,"1,1,15,0",0,0,100,,,,,0,,,,1,1,,
4050001,盆栽,icob_pengzai_7,Varia表的描述没配置,5,,icob_pengzai_7,,1,80,8,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4050066,盆景花,icob_pengzai_1,Varia表的描述没配置,5,,icob_pengzai_1,,96,96,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4050078,垃圾桶,icob_lajitong_1,Varia表的描述没配置,5,,icob_lajitong_1,,,,0,15,,"1,1,15,-1",0,0,0,,,,,0,,,,1,1,,
4050080,盆景花,icob_pengzai_2,Varia表的描述没配置,5,,icob_pengzai_2,,20,20,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4050081,盆景花,icob_pengzai_3,Varia表的描述没配置,5,,icob_pengzai_3,,20,20,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4050084,盆栽捧花,icob_pengzai_6,Varia表的描述没配置,5,,icob_pengzai_6,,20,20,0,15,0,"1,1,15,0",0,0,0,,,,,0,,,,1,1,,
4050111,小坟包,ob_DECO_12_101,Varia表的描述没配置,5,,ob_DECO_12_101,,48,87,4,15,0,"1,1,15,0",0,0,87,,,,,0,,,,1,1,,
4060030,沙漠地块1,cell_1_0,Varia表的描述没配置,17,,cell_1_0,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,1,,,
4060031,沙漠地块2,cell_1_1,Varia表的描述没配置,17,,cell_1_1,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,1,,,
4060032,沙漠地块3,cell_1_2,Varia表的描述没配置,17,,cell_1_2,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,6,,,,1,,,
4060033,石板地,cell_1_3,Varia表的描述没配置,17,,cell_1_3,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,3,,,,1,,,
4060034,沙漠二层楼梯1,cell_1_4,Varia表的描述没配置,5,,cell_1_4,,1,45,8,15,10,"1,1,15,10",0,0,45,,,,,6,,,,1,,,
4060035,沙漠二层楼梯2,cell_1_5,Varia表的描述没配置,5,,cell_1_5,,1,45,4,15,5,"1,1,15,5",0,0,45,,,,,6,,,,1,,,
4060036,沙漠三层楼梯1,cell_1_6,Varia表的描述没配置,5,,cell_1_6,,45,90,4,15,5,"1,1,15,5",0,0,90,,,,,6,,,,1,,,
4060037,沙漠三层楼梯2,cell_1_7,Varia表的描述没配置,5,,cell_1_7,,45,90,8,15,10,"1,1,15,10",0,0,90,,,,,6,,,,1,,,
4060038,石头装饰,cell_1_8,Varia表的描述没配置,17,,cell_1_8,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,3,,,,1,,,
4060039,熔岩三层楼梯1,cell_1_10,Varia表的描述没配置,17,,cell_1_10,,45,90,4,15,5,"1,1,15,5",0,0,90,,,,,3,,,,1,,,
4060040,沙漠水1,cell_1_11,Varia表的描述没配置,17,,cell_1_11,,,,0,15,15,"1,1,15,15",0,0,0,,,,,8,,,,1,,,
4060041,沙漠水2,cell_1_12,Varia表的描述没配置,17,,cell_1_12,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060042,沙漠水3,cell_1_13,Varia表的描述没配置,17,,cell_1_13,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060043,沙漠水4,cell_1_14,Varia表的描述没配置,17,,cell_1_14,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060044,沙漠水5,cell_1_15,Varia表的描述没配置,17,,cell_1_15,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060045,沙漠水6,cell_1_16,Varia表的描述没配置,17,,cell_1_16,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060046,沙漠水7,cell_1_17,Varia表的描述没配置,17,,cell_1_17,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060047,沙漠水8,cell_1_18,Varia表的描述没配置,17,,cell_1_18,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060048,沙漠水9,cell_1_19,Varia表的描述没配置,17,,cell_1_19,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060049,沙漠水10,cell_1_20,Varia表的描述没配置,17,,cell_1_20,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060050,沙漠水11,cell_1_21,Varia表的描述没配置,17,,cell_1_21,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060051,沙漠水12,cell_1_22,Varia表的描述没配置,17,,cell_1_22,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060052,沙漠水13,cell_1_23,Varia表的描述没配置,17,,cell_1_23,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060053,沙漠水14,cell_1_24,Varia表的描述没配置,17,,cell_1_24,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060054,熔岩二层楼梯1,cell_1_25,Varia表的描述没配置,5,,cell_1_25,,1,45,4,15,5,"1,1,15,5",0,0,45,,,,,3,,,,1,,,
4060055,熔岩二层楼梯2,cell_1_26,Varia表的描述没配置,5,,cell_1_26,,1,45,8,15,10,"1,1,15,10",0,0,45,,,,,3,,,,1,,,
4060056,熔岩三层楼梯2,cell_1_27,Varia表的描述没配置,5,,cell_1_27,,45,90,8,15,10,"1,1,15,10",0,0,90,,,,,3,,,,1,,,
4060057,沙漠水15,cell_1_28,Varia表的描述没配置,17,,cell_1_28,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060058,沙漠水16,cell_1_29,Varia表的描述没配置,17,,cell_1_29,,,,0,15,15,"1,1,15,15",0,0,0,,,,,6,,,,1,,,
4060059,沙漠二层右上,cell_1_30,Varia表的描述没配置,5,,cell_1_30,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060060,沙漠二层右下,cell_1_31,Varia表的描述没配置,5,,cell_1_31,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060061,沙漠二层1,cell_1_32,Varia表的描述没配置,5,,cell_1_32,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060062,熔岩三层楼梯3,cell_1_33,Varia表的描述没配置,5,,cell_1_33,,45,90,8,15,10,"1,1,15,10",0,0,90,,,,,3,,,,1,,,
4060063,沙漠二层2,cell_1_34,Varia表的描述没配置,5,,cell_1_34,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060064,沙漠二层左上,cell_1_35,Varia表的描述没配置,5,,cell_1_35,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060065,沙漠二层左下,cell_1_36,Varia表的描述没配置,5,,cell_1_36,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060066,沙漠二层3,cell_1_37,Varia表的描述没配置,5,,cell_1_37,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,6,,,,1,,,
4060067,沙漠三层右上,cell_1_38,Varia表的描述没配置,5,,cell_1_38,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060068,沙漠三层右下,cell_1_39,Varia表的描述没配置,5,,cell_1_39,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060069,沙漠三层1,cell_1_40,Varia表的描述没配置,5,,cell_1_40,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060070,沙漠三层2,cell_1_41,Varia表的描述没配置,5,,cell_1_41,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060071,沙漠三层3,cell_1_42,Varia表的描述没配置,5,,cell_1_42,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060072,沙漠三层左上,cell_1_43,Varia表的描述没配置,5,,cell_1_43,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060073,沙漠三层左下,cell_1_44,Varia表的描述没配置,5,,cell_1_44,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,6,,,,1,,,
4060074,冰原1,cell_1_45,Varia表的描述没配置,5,,cell_1_45,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,3,,,,1,,,
4060075,冰原2,cell_1_46,Varia表的描述没配置,5,,cell_1_46,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,3,,,,1,,,
4060076,冰原3,cell_1_46_cao1,Varia表的描述没配置,5,,cell_1_46_cao1,,1,1,0,15,15,"1,1,15,15",0,1,1,,,,,3,,,,1,,,
4060077,冰原水1,cell_1_46_cao2,Varia表的描述没配置,5,,cell_1_46_cao2,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060078,冰原水2,cell_1_46_tu1,Varia表的描述没配置,5,,cell_1_46_tu1,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060079,冰原水3,cell_1_46_tu2,Varia表的描述没配置,5,,cell_1_46_tu2,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060080,冰原水4,cell_1_47,Varia表的描述没配置,5,,cell_1_47,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060081,冰原水5,cell_1_48,Varia表的描述没配置,5,,cell_1_48,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060082,冰原水6,cell_1_49,Varia表的描述没配置,5,,cell_1_49,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060083,冰原水7,cell_1_50,Varia表的描述没配置,5,,cell_1_50,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060084,冰原水8,cell_1_51,Varia表的描述没配置,5,,cell_1_51,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060085,冰原水9,cell_1_52,Varia表的描述没配置,5,,cell_1_52,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060086,冰原水10,cell_1_52_cao3,Varia表的描述没配置,5,,cell_1_52_cao3,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060087,冰原水11,cell_1_53,Varia表的描述没配置,5,,cell_1_53,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060088,冰原水12,cell_1_54,Varia表的描述没配置,5,,cell_1_54,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060089,冰原水13,cell_1_55,Varia表的描述没配置,5,,cell_1_55,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060090,冰原水14,cell_1_55_cao1,Varia表的描述没配置,5,,cell_1_55_cao1,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,9,,,,1,,,
4060091,冰原水15,cell_1_55_cao2,Varia表的描述没配置,5,,cell_1_55_cao2,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,8,,,,1,,,
4060092,冰原水16,cell_1_56,Varia表的描述没配置,5,,cell_1_56,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,8,,,,1,,,
4060093,二层冰原1,cell_1_57,Varia表的描述没配置,5,,cell_1_57,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060094,二层冰原2,cell_1_58,Varia表的描述没配置,5,,cell_1_58,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060095,二层冰原3,cell_1_59,Varia表的描述没配置,5,,cell_1_59,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060096,二层冰原4,cell_1_60,Varia表的描述没配置,5,,cell_1_60,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060097,二层冰原5,cell_1_61,Varia表的描述没配置,5,,cell_1_61,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060098,二层冰原6,cell_1_62,Varia表的描述没配置,5,,cell_1_62,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060099,二层冰原7,cell_1_63,Varia表的描述没配置,5,,cell_1_63,,45,45,0,15,15,"1,1,15,15",0,1,45,,,,,3,,,,1,,,
4060100,草原水16,cell_1_64,Varia表的描述没配置,5,,cell_1_64,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,8,,,,1,,,
4060101,草原水17,cell_1_65,Varia表的描述没配置,5,,cell_1_65,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,8,,,,1,,,
4060102,草原水18,cell_1_66,Varia表的描述没配置,5,,cell_1_66,,1,1,0,15,15,"1,1,15,15",0,0,1,,,,,8,,,,1,,,
4060103,三层岩浆地1,cell_1_66_cao5,Varia表的描述没配置,5,,cell_1_66_cao5,,90,90,0,15,15,"1,1,15,15",0,1,90,,,,,3,,,,1,,,
4060104,草原水中石,cell_1_67,Varia表的描述没配置,5,,cell_1_67,,1,1,0,15,0,"1,1,15,0",0,0,1,,,,,8,,,,1,,,
