id,µÈ¼¶,Éý¼¶¾­Ñé,ËÀÍö³Í·£¾­Ñé,ÑªÁ¿,ÉúÃü»Ö¸´,ÆÕÍ¨¹¥»÷,¹¥»÷ËÙ¶È,·ÀÓù,±©»÷,±©»÷ÉËº¦,ÃüÖÐ,ÉÁ±Ü,ÒÆ¶¯ËÙ¶È
29,29,106865,5344,480,0,106,0,114,50,500,184,184,550
30,30,118800,5940,490,0,108,0,117,50,500,187,187,550
31,31,131595,6580,500,0,110,0,120,50,500,190,190,550
32,32,145280,7264,510,0,112,0,123,50,500,193,193,550
33,33,159885,7995,520,0,114,0,126,50,500,196,196,550
34,34,175440,8772,530,0,116,0,129,50,500,199,199,550
35,35,191975,9599,540,0,118,0,132,50,500,202,202,550
36,36,209520,10476,550,0,120,0,135,50,500,205,205,550
37,37,228105,11406,560,0,122,0,138,50,500,208,208,550
38,38,247760,12388,570,0,124,0,141,50,500,211,211,550
39,39,268515,13426,580,0,126,0,144,50,500,214,214,550
40,40,290400,14520,590,0,128,0,147,50,500,217,217,550
41,41,313445,15673,600,0,130,0,150,50,500,220,220,550
42,42,337680,16884,610,0,132,0,153,50,500,223,223,550
43,43,363135,18157,620,0,134,0,156,50,500,226,226,550
44,44,389840,19492,630,0,136,0,159,50,500,229,229,550
45,45,417825,20892,640,0,138,0,162,50,500,232,232,550
46,46,447120,22356,650,0,140,0,165,50,500,235,235,550
47,47,477755,23888,660,0,142,0,168,50,500,238,238,550
48,48,509760,25488,670,0,144,0,171,50,500,241,241,550
49,49,543165,27159,680,0,146,0,174,50,500,244,244,550
50,50,578000,28900,690,0,148,0,177,50,500,247,247,550
51,51,614295,30715,700,0,150,0,180,50,500,250,250,550
52,52,652080,32604,710,0,152,0,183,50,500,253,253,550
53,53,691385,34570,720,0,154,0,186,50,500,256,256,550
54,54,732240,36612,730,0,156,0,189,50,500,259,259,550
55,55,774675,38734,740,0,158,0,192,50,500,262,262,550
56,56,818720,40936,750,0,160,0,195,50,500,265,265,550
57,57,864405,43221,760,0,162,0,198,50,500,268,268,550
58,58,911760,45588,770,0,164,0,201,50,500,271,271,550
59,59,960815,48041,780,0,166,0,204,50,500,274,274,550
60,60,1011600,50580,790,0,168,0,207,50,500,277,277,550
61,61,1064145,53208,800,0,170,0,210,50,500,280,280,550
62,62,1118480,55924,810,0,172,0,213,50,500,283,283,550
63,63,1174635,58732,820,0,174,0,216,50,500,286,286,550
64,64,1232640,61632,830,0,176,0,219,50,500,289,289,550
65,65,1292525,64627,840,0,178,0,222,50,500,292,292,550
66,66,1354320,67716,850,0,180,0,225,50,500,295,295,550
67,67,1418055,70903,860,0,182,0,228,50,500,298,298,550
68,68,1483760,74188,870,0,184,0,231,50,500,301,301,550
69,69,1551465,77574,880,0,186,0,234,50,500,304,304,550
70,70,1621200,81060,890,0,188,0,237,50,500,307,307,550
71,71,1692995,84650,900,0,190,0,240,50,500,310,310,550
72,72,1766880,88344,910,0,192,0,243,50,500,313,313,550
73,73,1842885,92145,920,0,194,0,246,50,500,316,316,550
74,74,1921040,96052,930,0,196,0,249,50,500,319,319,550
75,75,2001375,100069,940,0,198,0,252,50,500,322,322,550
76,76,2083920,104196,950,0,200,0,255,50,500,325,325,550
77,77,2168705,108436,960,0,202,0,258,50,500,328,328,550
78,78,2255760,112788,970,0,204,0,261,50,500,331,331,550
79,79,2345115,117256,980,0,206,0,264,50,500,334,334,550
80,80,2436800,121840,990,0,208,0,267,50,500,337,337,550
81,81,2530845,126543,1000,0,210,0,270,50,500,340,340,550
82,82,2627280,131364,1010,0,212,0,273,50,500,343,343,550
83,83,2726135,136307,1020,0,214,0,276,50,500,346,346,550
84,84,2827440,141372,1030,0,216,0,279,50,500,349,349,550
85,85,2931225,146562,1040,0,218,0,282,50,500,352,352,550
86,86,3037520,151876,1050,0,220,0,285,50,500,355,355,550
87,87,3146355,157318,1060,0,222,0,288,50,500,358,358,550
88,88,3257760,162888,1070,0,224,0,291,50,500,361,361,550
89,89,3371765,168589,1080,0,226,0,294,50,500,364,364,550
90,90,3488400,174420,1090,0,228,0,297,50,500,367,367,550
91,91,3607695,180385,1100,0,230,0,300,50,500,370,370,550
92,92,3729680,186484,1110,0,232,0,303,50,500,373,373,550
93,93,3854385,192720,1120,0,234,0,306,50,500,376,376,550
94,94,3981840,199092,1130,0,236,0,309,50,500,379,379,550
95,95,4112075,205604,1140,0,238,0,312,50,500,382,382,550
96,96,4245120,212256,1150,0,240,0,315,50,500,385,385,550
97,97,4381005,219051,1160,0,242,0,318,50,500,388,388,550
98,98,4519760,225988,1170,0,244,0,321,50,500,391,391,550
99,99,4661415,233071,1180,0,246,0,324,50,500,394,394,550
100,100,4806000,240300,1190,0,248,0,327,50,500,397,397,550
