代码块合集id,备注1,代码库,可被放置的代码块1,可被放置的代码块2,可被放置的代码块3,可被放置的代码块4,可被放置的代码块5,可被放置的代码块6,可被放置的代码块7,可被放置的代码块8,可被放置的代码块9,可被放置的代码块10,可被放置的代码块11,可被放置的代码块12,可被放置的代码块13,可被放置的代码块14,可被放置的代码块15,可被放置的代码块16,可被放置的代码块17,可被放置的代码块18,可被放置的代码块19,可被放置的代码块20,可被放置的代码块21,可被放置的代码块22,可被放置的代码块23,可被放置的代码块24,可被放置的代码块25,可被放置的代码块26,可被放置的代码块27,可被放置的代码块28,可被放置的代码块29,可被放置的代码块30,可被放置的代码块31,可被放置的代码块32,可被放置的代码块33,可被放置的代码块34,可被放置的代码块35,可被放置的代码块36,可被放置的代码块37,可被放置的代码块38,可被放置的代码块39,可被放置的代码块40,可被放置的代码块41,可被放置的代码块42,可被放置的代码块43,可被放置的代码块44,可被放置的代码块45,可被放置的代码块46,可被放置的代码块47,可被放置的代码块48,可被放置的代码块49,可被放置的代码块50,可被放置的代码块51,可被放置的代码块52,可被放置的代码块53,可被放置的代码块54,可被放置的代码块55,可被放置的代码块56,可被放置的代码块57,可被放置的代码块58,可被放置的代码块59,可被放置的代码块60,可被放置的代码块61,可被放置的代码块62,可被放置的代码块63,可被放置的代码块64,可被放置的代码块65,可被放置的代码块66,可被放置的代码块67,可被放置的代码块68,可被放置的代码块69,可被放置的代码块70,可被放置的代码块71,可被放置的代码块72,可被放置的代码块73,可被放置的代码块74,可被放置的代码块75,可被放置的代码块76,可被放置的代码块77,可被放置的代码块78,可被放置的代码块79,可被放置的代码块80,可被放置的代码块81,可被放置的代码块82,可被放置的代码块83,可被放置的代码块84,可被放置的代码块85,可被放置的代码块86,可被放置的代码块87,可被放置的代码块88,可被放置的代码块89,可被放置的代码块90,可被放置的代码块91,可被放置的代码块92,可被放置的代码块93,可被放置的代码块94,可被放置的代码块95,可被放置的代码块96,可被放置的代码块97,可被放置的代码块98,可被放置的代码块99,可被放置的代码块100,可被放置的代码块101,可被放置的代码块102,可被放置的代码块103,可被放置的代码块104,可被放置的代码块105,可被放置的代码块106,可被放置的代码块107,可被放置的代码块108,可被放置的代码块109,可被放置的代码块110,可被放置的代码块111,可被放置的代码块112,可被放置的代码块113,可被放置的代码块114,可被放置的代码块115,可被放置的代码块116,可被放置的代码块117,可被放置的代码块118,可被放置的代码块119,可被放置的代码块120,可被放置的代码块121,可被放置的代码块122,可被放置的代码块123,可被放置的代码块124,可被放置的代码块125,可被放置的代码块126,可被放置的代码块127,可被放置的代码块128,可被放置的代码块129,可被放置的代码块130,可被放置的代码块131,可被放置的代码块132,可被放置的代码块133,可被放置的代码块134,可被放置的代码块135,可被放置的代码块136,可被放置的代码块137,可被放置的代码块138,可被放置的代码块139,可被放置的代码块140,可被放置的代码块141,可被放置的代码块142,可被放置的代码块143,可被放置的代码块144,可被放置的代码块145,可被放置的代码块146,可被放置的代码块147,可被放置的代码块148,可被放置的代码块149,可被放置的代码块150,可被放置的代码块151,可被放置的代码块152,可被放置的代码块153
1010,熔炉类物件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,孵化器类物件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,农田类物件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,门类物件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,灯光类物件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,源码能源装置,"10094,10075,10011,10103",10094,10075,10011,10103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,mabo课程专用物件,"10072,10178,10179,10180,10181,10182,10183",10072,10178,10179,10180,10181,10182,10183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,bebo课程专用物件,"10094,10075,10011,10010,10226,10109,10110,10113,10120,10123,10124,10125,10126,10130,10131,10132,10135,10137,10226,10068,10141,10142,10143,10127,10128,10129,10085,10146,10148,10034,10149,10150,10151,10152,10153,10706,10246,10166,10167,10169,10170,10171,10172,10173,10174,10175,10176,10177,10188,10185,10186,10187,10178,10183,10194,10195,10211,10213,10214,10223,10224,10225,10189,10190,10191,10192,10193,10196,10197,10198,10199,10200,10243,10249",10094,10075,10011,10010,10226,10109,10110,10113,10120,10123,10124,10125,10126,10130,10131,10132,10135,10137,10226,10068,10141,10142,10143,10127,10128,10129,10085,10146,10148,10034,10149,10150,10151,10152,10153,10706,10246,10166,10167,10169,10170,10171,10172,10173,10174,10175,10176,10177,10188,10185,10186,10187,10178,10183,10194,10195,10211,10213,10214,10223,10224,10225,10189,10190,10191,10192,10193,10196,10197,10198,10199,10200,10243,10249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,自定义事件-游戏,"10501,10502,10503",10501,10502,10503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,自定义事件-玩家,"10504,10505,10506",10504,10505,10506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,自定义事件-实体,"10507,10508,10509",10507,10508,10509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,鲸幂关卡显示器,"10167,30001",10167,30001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,puzzle显示器,"10167,30002",10167,30002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
