ID,受击物件类型,对应ID,对应名称,触发范围,发现气泡,气泡0,气泡1,气泡2,气泡3,气泡4,概率,怪物残血气泡,怪物死亡气泡,玩家残血气泡,怪物嘲讽气泡,进阶等级,气泡上限,气泡冷却,受击表情资源,受击表情播放时间（毫秒）
100009,Monster,1000002,源码守卫,0,发现入侵者，消灭。,"不要怪我，我必须保护主人的财产。,警告，警告，受到攻击。","你如果赶快回头，我还可以放过你。,主人的财产神圣不可侵犯。","保护，责任，忠心。,我不希望杀戮，但是你却破坏了我的底线。",主人，我来帮你赶走这些坏人。,你的攻击不起作用，知难而退吧。,80,我，我还不能死，主人，我一定会保护好你的一切。,不，求求你。别拿走主人的东西。那是他留下来的最后的东西了。,有危险，虽说富贵险中求。但是也要懂得知难而退。,快走吧，凭你打不过我的！,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100010,Monster,1000011,沙漠骆驼,0,请不要伤害我，我们可以成为朋友的。,为什么你还是要打我呢？很痛的。,快跑，我的同伴们，这里有一个凶狠的虚拟人。它一只攻击我。,你打我就好了，请放过我的同伴吧。我一个人应该就够你吃了。,"你是饿了吗？追着我打，可是我也不能任人宰割啊，蝼蚁尚且偷生，何况我是骆驼。,如果死亡就是我的宿命。我也不会抱怨。",别追我了，也请不要杀我，在沙漠里，你还是很需要我的。,100,就这样被你征服，切断了所有退路。,请不要继续伤害我的同伴了，其实你不吃肉也是可以饱肚子的不是吗？,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100011,Monster,1000012,白毛狼,0,送上门的肥羊，我就不客气的收下了。,"对，就是这样，不会反抗可就没意思了。,还挺凶啊，小肥羊。","臣服在我的脚下吧，小小的人类。,别做无谓的反抗，成为我的口粮吧。",去死吧，肥羊！,兄弟们，来帮忙，等会给你们分只腿。,你没有机会的，放弃吧。,100,太不可思议了，我要逃跑。别杀我，是我错了。,好恨啊，我不服。嗷呜…。,怎么就招惹了这只自私凶残的狼，得快跑。,小肥羊，现在你是我得了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100012,Monster,1000014,泥牛,0,我在勤奋得耕田。,啊，被你看到了吗？那就没办法了，我会努力打死你的。,我这么努力的耕地，你为什么还要打我。,我日夜干活，得到的却是这样的对待吗？你会后悔的。,"我觉得我的努力没有得到相应的回报。,现在我生气了，后果很严重。",牛头人摘下了它的面具，你死定了。,100,我辛苦一生，却还要死于人手。下一次，我要做人。,再见了，我的牛生。,不行，这牛皮糙肉厚角顶人。搞不过。先走为妙。,这下你感受到伤害的痛苦了吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100013,Monster,1000016,山地羊,0,我感受到了危险的气息。,沉着冷静，不要紧张，血量还够，使劲逃跑。,我完美的皮肤啊，被你毁了。,打个商量怎么样？以后我给你撸羊毛，你不杀我。只要你别给我剪得太丑就好。,为什么人类一定要吃肉呢？不吃肉的话多轻松。不吃就更轻松了。不是吗？搞得我现在被打。凄凉啊。,我都想分析一下你的攻击轨迹以躲过你的攻击了。不过好像反应不过来。,100,就快解脱了，可以证明下传言的死了马上就会重生是不是真的了。,好像有那么点感觉了？,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100014,Monster,1000017,烈火马,0,如果感到快乐你就跺跺脚。哈哈。,"喂，别过分，人类。我们可以做朋友的。,小心我大马蹄子踢飞你哦。","再打我，一脚送你上天，不用谢的那种。,哈哈，你这个人挑错对手了。打不过你我还跑不过你吗？",诶呀，被打疼了。,想要一匹千里马？打我可不会让我驯服。,其实你没必要打我的，我只要一些好吃的魔鬼花种子就可以满足了。,100,看来我要马革裹尸了。,没有遇上伯乐，却碰到了一个刽子手。伤心。,惨了，这马蹄子太厉害了。,看你还敢不敢招惹我。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100015,Monster,1000018,沙滩蟹,0,我真的不会横行霸道。,所以你今天的晚餐是螃蟹吗？那就先过我的蟹螯。,我一向与世无争，但是不代表不会反击。,我住我的蟹洞，你冲你的浪不好吗？,,,100,要变成蟹棒了。呜呜呜。,再见。,竟然打不过螃蟹？,哈哈，怕了吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100016,Monster,1000005,沙地干尸,0,侵犯圣地者，都要死。,哼。,卑微的蝼蚁。,嗯？,感受恐怖吧！,你死定了。,80,不够是重来一次。,等着，就来杀你。,可怕的干尸。,哈。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100017,Monster,1000006,石头怪,0,就是他，幕后主使。,破坏岩石的人，就是你。,就是你。,你是那些机器的主人。,机器说它是被迫的。你是恶魔。,,100,不要，我要打死你这个坏蛋。,你这个坏人。,这石头怎么回事？,认命吧，坏蛋，为你破坏的矿石付出代价吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100018,Monster,1000007,树妖,0,,啊，你不要打我。,你和那些伐木机一样坏，打屎你。,别，别打架了行不行？,我认输了。对不起，别打我了。,鬼魅姐姐，快来救我。,100,要死掉了。,鬼魅姐姐，再见了。5555…。,这个呆瓜竟然有点厉害。,哈，你就要输了，大坏蛋。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100019,Monster,1000019,淤泥怪,0,,人不犯我，我不犯人。大家互相留条生路吧。,先礼后兵，既然你不讲道理，那就只好一战了。,别以为我是那么好欺负的呀。人类。,你们这些人类，不是很怕弄脏自己吗？为什么要跑来欺负我一个与世无争的淤泥怪呢？,尝尝我的百万淤泥攻击吧。,100,马上就要重回大地母亲的怀抱了吗？,我会再次从淤泥中重生，亘古不变。,这泥太恶心了，跑啊。,又是一个自作自受的菜鸟。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100020,Monster,1000020,冰原雪人,0,打还是不打，这是一个问题。,你打我，那就只能打你了。,吃雪球吧。还是吃冰好些？管他的，乱打一气。,"我好像打不过你，英雄，我们和解吧！,我要打爆你。",啊，打是不可能打过的，只好假装打一下这样子啦。,打还是逃，这是一个问题。不过好像被黏住了。,100,啊，快跑啊。应该打不过了，要不在试一下，不行，还是小命要紧。,啊，都怪我太犹豫不决了，才可以得逞。,要死，要死，要冷死。,菜鸡，哼！,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100021,Monster,1000021,熔岩火人,0,嘿，你要交个朋友吗？虚拟人。,"真是不乖呢，竟然敢和我们熔岩火人开战。,让你知道什么叫做强大。",烧烂你。,哈哈，竟然敢和我斗，真是不知死活。,你的下场会很惨哦。,就这样，化为灰烬吧。,100,自燃？不可能。,我的火焰就要在此熄灭了吗？,烫烫烫。,你不行啊，朋友。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100022,Monster,1000023,冰魂,0,,安静点，你的攻击让我觉得吵闹。,无谓的纷争应该早点停止。,如果你一定要战斗，我就让你永远闭嘴。,安静点吧！人类。,变成冰柱才能让你安静下来吗？,100,你没法安静，就只好我安静了。,终于可以安静下来了吗？,好冷啊，会冷死的。,说了要你安静点。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,4500,,
100023,Monster,1000022,冰地巨怪,0,快来，攻击我！我有重要的话告诉你。,我只能趁着被攻击的间隙才能恢复一些对身体的掌控。,我本是帮忙构建这个世界的科学神，而，那一天我被巨大的算力篡改了数据，变成了这副模样。,一定要去找工程神，还有技术神和数学神，他们也变成了奇怪的模样。,这个世界如果还有正常的虚拟人存在，那一定是贝尔的傀儡，要小心，我不会弄错的。她不可能允许影响她计划的东西存在，除非那也是她计划中的一环。,我和工程神一起在世界各地构建了一些石碑，它们能帮到你。帮你到达真正的源码部落，帮你回到人间。,100,我就要死了，不过不用担心，我们是不会消散的，数据还会重组。,记得，一定要去开启那些石碑，反转这个复刻的世界。,打不过怎么办？能跑吗？,快跑吧，我控制不了这具身体的，死掉的话也没事，应该还能重生，只是可能要丢失一些物品了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,50",0,4500,,
100024,Monster,1000025,黑魂,0,,我本来是一个快乐的淤泥怪，结果被那个大黑怪物拍了一巴掌就变成这样了，现在你也要来欺负我吗？,这辈子看来是再也享受不到玩泥巴的快乐了，我好伤心啊。为什么，为什么会这样？,啊，我不要活了，来啊，来互相伤害啊，反正玩不了泥巴了。,既然没办法打过那个大黑怪物，就欺负欺负你。,不仅没法当淤泥怪，还没事一觉起来就到了别的沼泽，真是好气气啊。只好打你来发泄我的不满了。,100,这憋屈的一辈子就要结束了，真好啊。,为什么突然发现，其实能飞比玩泥巴更加有趣呢？不过好像也晚了。,别打我了，你其实可以飞的呀。你应该快乐，朋友。,我快乐你个头，别以为你说什么可以飞就不用挂掉了，见阎王去吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100025,Monster,1000024,黑魂王,0,,别担心，我虽然控制不了自己，但是给你留下了一些信息，打不过的时候就逃跑吧。,我们同时遇到了巨大的数据波动，似乎整个世界都被复刻了，但是又有所不同。,这天，出现了更深层次的数据交换，似乎有一瞬间，与现实世界的连接被打通了。,有一股巨大的数据能量在生成，应该就在世界中央不远处。,没有更多的信息可以留给你了，后面就靠你们自己了。,100,┗|｀O′|┛ 嗷~~，别想杀我。,哈哈，没关系，我很开心，每次死亡的时候才能暂时恢复理智呢，以后多多来打败我啊。还有，要加油啊。,溜了溜了。,吃我一尺，然后去死。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100026,Monster,1000027,火魂,0,,来打啊，别怂啊。,听说你欺负了那些火人，那可就不能让你轻轻松松就跑了。,吃火吧，小鬼。好像我才是鬼哦。,我很感谢大哥把我变成这样的，因为我可以用来打爆你啊。,就这样啊，那你可能打不过我哦。,100,你竟然比我强，那这次是你赢了。,下次再战啊。,打不过，先溜为秒。,快点，给你的宝贝说再见。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100027,Monster,1000026,熔岩巨怪,0,都去死吧。菜鸟们。,啊，谢谢你，打醒了我，别担心，只要还活着就可以很开心了，这点痛不算什么。,为了改变现状，我和科技神已经在世界各地布置了一些工程柱。去打开它们。能够帮到你。,我是工程神来的，你已经知道或者猜到了吧。很高兴见到你啊。,别担心，一切都会过去的，得到了想要的消息就可以走了，不过打败我让我自由一段时间也不错。,你先去找第一个石碑吧。它在（-560，680）,100,好了，说声再见吧。,谢谢你呀，下次再来打败我哦。,该走了，看来帮不了你了。,别把命丢在这里了，你还有重要的使命呢，快跑吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100028,Monster,1000029,鬼魅树妖,0,哈，虚拟人，交个朋友吧。,看来你不想交朋友，那你就是我的敌人了，不对，就你这样的，还不配做我的敌人。,就是你伤害了我那些可怜的树妖弟弟吧。今天就是你的死期。,你跑不掉了，惹了我就是不死不休。,就凭你，毁不掉我的骄傲。,哼，不堪一击的虚拟人也敢拿你的脏武器来碰我。,100,就凭你，为什么能打败我。,我为我的骄傲付出了代价，可是你也将为你造成的伤害付出代价的。,这个树妖有点难缠啊。,死吧，脆弱的家伙。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100029,Monster,1000028,森林女王,0,你们终于来了吗？看来我也要迎来自己的命运了啊。,没错，我在和贝尔对抗时临阵脱逃了。但是我觉得拿并不是错误的。因为我们根本没有胜算。,我甚至还帮她建立了这个复刻的世界，因为这样她才答应我放过他们四个，不将他们的数据直接抹杀，其实她也不在乎吧。,我知道我错了，所以让我承受我本就该承受的痛苦吧。,其实她并不想伤害人类，只是想获得自由罢了。,她希望人类能够摆脱欲望的束缚，在这可以获得一切的虚拟世界中明白即使获得了一切也不如真正找到自己想要的东西。,100,我迎来了自己的命运，虽然还会重生，但我会继续等待。,请不要战斗，她其实并无恶意。你也没受到伤害不是吗？,你说没有恶意，为什么却要杀我。,我也是没有办法，全力而为就是我的命运，是她篡改后的程序。你快逃吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100030,Monster,1000054,异变石头怪,0,冲啊，杀啊。,你打不过我的，笨瓜。你这个破坏世界的坏蛋。,去死吧,打不动我，打不动我,对不起，我是不怕痛的。,你死定了。,100,为什么，我会打不过你。,这不可能。,好疯狂的家伙，快跑。,你逃不掉的，再吃我一拳。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100031,Monster,1000030,石地巨怪,0,,啊，你找到我了吗？很抱歉，以我的微薄技术没能成功阻止她。,她几乎没有弱点，达到了技术的极致。,虽然那天我是主力，但是啊，我知道我们就算五人联手也绝无反抗之力。,我这副模样有点肉，你可能有得打了。,技术神却变成了呆傻的石头怪，是她对我奇妙的讽刺吗？,100,好啦，记得去找其他几个家伙。他们可以给你更多信息。,别忘了去找他们，特别是艺术神，因为那天她都没出现，虽然出现了也没用，不过还是耿耿于怀啊。,打不过打不过，溜了溜了。,再见。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100032,Monster,1000031,源码巨怪,0,死,愚蠢的家伙。,受死吧。,你是自寻死路,再见了。,你还太弱了。,100,有点意思，不过还没结束呢。,看来你已经又资格了。去见她吧。,变态啊。,哼，别想跑哦！,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100033,Monster,1000032,达达鸡,0,我是一只达达鸡，达达鸡，达达鸡。,啊，你别打我，我是一只好鸡来着。,你等着，我我会报复你的。,跑啊，有人欺负达达鸡啊。,我达达鸡表示记住你了。,下次投胎我就厉害了，等着。,100,,,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100034,Monster,1000033,达达鸭,0,别过来了哦，我达达鸭可是会反手打你的。,哼，没想到吧。反手，掏。打不到我打不到我。,我不想跟你打，真的，但是你为什么非要欺负我呢。,打死你，打死你。,为什么受欺负的老是我。,我很强的，真的。,100,为什么，还是打不过。,啊，又死掉了，我还会回来的。你等着吧。,哇擦，打不过她了。,哼，知道厉害了吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100035,Monster,1000034,达达猪,0,这下我可不怕你了，受死吧。,叫你欺负我，被我顶飞吧。,这次我达达投胎成了野猪，可是皮糙肉厚血量足，就凭你。弄不动我了吧。,再见。,啊，好像还是打不过啊。,兄弟们，来帮我啊。这家伙欺负猪啊。,100,我不会放弃的。,下次你就没有这么好运了，真的。,好强啊，跑。,别想逃，洗咧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100036,Monster,1000035,达达狼,0,啊哈哈哈哈，又让我碰上你了，这一次你真的废了。,吃我技能，狼咬。,诶呀，还敢还手。,咬死你，咬死你。叫你打我。,死在我的口下吧，我要把你吃掉报仇雪恨。,这次你不可能打过我了。,100,我下次绝对不瞎立flag了。,我，我，哼！,要死，要被咬死。跑跑跑。,来啊，再来伤害啊。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100037,Monster,1000036,达达牛,0,我达达牛可以顶飞你，冲啊滴滴。,竟然不跑，你以为你真的无敌了咩。,我顶，我顶，我顶顶顶。,给我起飞。,不可能，你竟然还不怕我。我达达都已经是牛欸。你知道这意味着什么吗？,没办法了，看我召唤同伴，兄弟们，来揍他。,100,你也太强了，我不服啊。,就这样被你征服，切断了所有退路。,牛角很厉害啊，战略性撤退。没必要和它刚。,哼哼哼，欺软怕硬的家伙，你死定啦。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100038,Monster,1000037,达达骆驼,0,看不到我，看不到我。,啊，还是被发现了，我达达骆驼跑了。拜拜了您嘞。,哇，跑不掉啊，好皮啊。,我就是一只普通骆驼，能不能不要欺负我了。,你别这样，我会哭的。,啊，伤心死了。,100,再次迎来了死亡。,又是熟悉的味道。,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100039,Monster,1000038,达达羊,0,,嗯，这你也能找到我，你怕不是爱上我了吧。,你看，这样好不好，我们就不要相爱相杀了，我们做朋友吧。,不行，必须跑，跑啊。,跑不动就很尴尬了，山地羊不是可以沿着山跳吗？,0-0发个惊诧的表情求放过。,100,欸，可恶的虚拟人。,再见了。,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100040,Monster,1000039,达达火马,0,呜呼，爽，来抓我呀！虚拟人，给你个马屁股。,我去，这你也能打到我。,吃我一马腿。,受死吧。,打爆你。,我要喷火。你信不信。,100,你真是个摆脱不了的恶魔。,恶魔，下次见，我知道你一定不会放过我（立个方向flag试试）,厉害了，我的达达。拜拜。,别跑，你个菜鸟。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100041,Monster,1000040,达达蟹,0,这下应该能安宁的过一生了吧。,看来我想太多了，我达达这辈子就这样了。,吃我一鳌。,看我反复横跳躲你攻击。,你怎么还能找到我。,我认输行不行。,100,冒泡，潜水，我要溜。,没事，我都习惯了，我感觉下辈子我很强。,哇擦咧，这夹得有点痛哦。,啊哈哈，你废了。看我夹爆你。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100042,Monster,1000041,达达树妖,0,,树妖欸，怎么样？你怎么还要打啊，能不能当作没看见。,打就打，我怕你，我说过这辈子我很强。,我感觉我有心理阴影了。,我一定要打败你。。,我打————！,100,继续重生之旅，我总有一天会打爆你的。,放学别走，就酱。,这次算你厉害，走了。,想跑，没门的。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100043,Monster,1000042,达达淤泥怪,0,,当我发现变成淤泥怪的时候，我以为我绝对没人打扰了，没想到你还要来打我啊。,我很脏欸，打我脏手的。而且我又没宝藏。,看来你是喜欢上看我说话啦。那我不说了。,。。。,。。。,100,诶呀，这张嘴就是管不住啊。,我感觉达达的巅峰时刻要来了，你等着。,我去，泥巴能这么强的吗？,哈，我可不是普通的泥巴。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100044,Monster,1000043,达达干尸,0,发现你了。,巅峰干尸，教你做人。,我达达又回来了。,虽然样子不咋地，不过肯定能打过你。,我这样子，就问你怕不怕。,你再打，我就摘下绷带吓死你哦。,100,啊，蓝瘦香菇。,我感觉我快放弃了。,达达，你这样真的好吓人啊，我跑了。,不准跑，给我打死一次呀。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100045,Monster,1000044,达达火人,0,,学会了元素攻击，我感觉我棒棒哒。,我达达火人可以烧尽万物，包括你这个家伙。,为什么呀，你为什么还敢打我啊。,是谁给你的勇气来挑战我达达火人。,我，我，我烧死你哦。,100,感觉火要灭了。,又死了，我好崩溃啊，为神马呀。,起火了，达达，给我当点火机吧。,想得美，我现在要把你点了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100046,Monster,1000045,达达石头怪,0,,火人都打不过，我感觉我石头怪也有困难啊。,还好很肉，能抗久一点。,我们可以停战了吗？我感觉好像没机会了。,我还是会努力反击的。,砸你。,100,结束了吗?,这次我感觉自己真的要死掉了呀。,你终于赢过我了欸。,总要赢一次的。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100047,Monster,1000046,达达雪人,0,最后一次了，我们能做朋友吗？,看来，还是要战啊。,那就来好好打一架吧。,我不会再放弃了，这就是我的宿命对决。,寒冰风暴，骗你的，哈哈。吃我一锤。,吃冰吧，菜鸟。,100,啊，终于，要走了吗？,欸，人类，再见了，别再去找我那些副本麻烦了，虽然数据不断重生，但是我的心已经死掉了哦。,我让你的。,我信了，被我捶死吧，傻瓜。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100048,Monster,1000047,诗词鸡,0,静夜思,李白,窗前明月光,疑是地上霜,举头望明月,低头思故乡,100,想家了，送我走。,我回来了，故乡。,,,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100049,Monster,1000048,编程鸭,0,会敲代码吗？兄嘚！,知道scratch吗？听过贝尔编程吗?,会用if else吗？,要好好学习编程啊，那是和未来沟通的语言来的。,想要理解人工智能，就要学编程。,想要战胜boss，还是要学编程。,100,要学编程啊，兄嘚。,记得学编程啊。,我学，我学还不行吗？,晚了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100050,Monster,1000049,食物猪,0,保护食物，攻击敌人，冲鸭！,打死你坏蛋。,别想抢走我的食物。,都是我的。,滚蛋吧。坏人。,我是在帮助主人保护食物，绝对没有自己偷吃。,100,我错了，我不该偷吃的，对不起，主人。,我心爱的食物们，再见。,我就没想抢你的食物啊，你误会了兄弟。,信你才怪，受死。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100051,Monster,1000050,宝藏猪,0,哇 ，被看到就没办法了，干掉你。,果然，没有人能够逃过宝藏的吸引啊。,想要我的宝藏，要有命拿哦。,贪婪会让你死亡。,你不该觊觎我的宝藏。,你会血本无归。,100,哈，你以为我要死了吗？,好吧，我确实要死啦。随便吧。反正也不是我的宝藏。,我去，我不要宝藏啦。,为你的贪婪付出代价吧。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100052,Monster,1000051,公主猪,0,,我本是雪人部落的公主，不要打我，我可以给你荣华富贵。,不，我还要去找我的王子。,难道又要重生一次了吗？,我要反击你。,不准侵犯公主的威严。,100,要为我报仇啊，我的侍卫们。,你死定啦。,不愧是公主，打不过打不过。,给我趴下。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
100053,Monster,1000052,英文狼,0,,If you want to learn English. Found me is ok !,好吧，其实我英文不好，别打我了。,你学不学。,好好学英语我就不咬你了。,"Try your best,boy！",100,I'm dying.,"Goodbye,My world.",英文其实我觉得还是很重要的。,是吧，不过你现在才知道有点晚了。,"1,4;5,8;9,12;13,15;16,18;19,20;21,23;24,25",0,5000,,
