f,代码块描述,是否可以生产pb,函数调用名称1,调用名称,单位,单位消耗,类别,是否是默认代码块,类型 ,代码块权限,关联数据结构,提示图标,模板,可隐藏结构,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,模板2,代码块排序,是否能在公共区域使用
10015,判断自身背包是不是满了,是,IsBackpackFull,,次,,detect,,boolean,,,,背包已满,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10016,背包内是不是有某种物品,是,IsGameObjectExistedInBackpack,,次,,detect,,boolean,,,,背包内存在 %%{1},,blank;10021;3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10017,建筑的储物栏是不是存在某物,是,IsGameObjectExistedInBuilding,,次,,detect,,boolean,,,,储物栏内存在 %%{1},,blank;10021;3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10018,背包剩余格子数量,是,RestGridInBackpack,,个,,detect,,value,,,,背包剩余格子数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10019,机器人属性下拉框,是,,,个,,detect,,value,,,,%%{1}的%%{2},,"dropdown;2;5,18;800","dropdown;1;X坐标,Y坐标,名字,等级,血量,攻击,防御,闪避,暴击,移动速度,燃料值",,,,,,,,,,,,,,,,,,,,,,,,,,1
10020,建筑道具,是,,,个,,prop,,blank,,,class,建筑 %%{1},,"prop;EntityBuildObject;1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10021,道具道具,是,,,个,,prop,,blank,,,class,道具 %%{1},,"prop;Item;5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10022,杂物道具,是,,,个,,prop,,blank,,,class,采集物 %%{1},,"prop;EntityMaterial;5,8,11",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10024,生物道具,是,,,个,,prop,,blank,,,class,生物 %%{1},,prop;Monster;5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10028,采集附近N米内的X物品,是,,CollectObjectsInRange,米,100,function,,block,,,,采集附近 %%{1} 米内的 %%{2},,"input;1;距离,1,0,20;100","prop;Item;5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,1
10030,拿取附近建筑内指定物品,是,,TakeObject,次,100,function,,block,,,,拿取附近建筑内 %%{1} %%{2} 个,,blank;10021;3,"input;1;个数,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10032,放入附近建筑内的指定物品,是,,PlaceBackpackItemToBuilding,次,100,function,,block,,,,放入附近建筑内 %%{1} %%{2} 个,,blank;10021;3,"input;1;个数,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10033,使用家园附近建筑生产物品,是,,ProduceObject,个,200,function,,block,,,,用附近建筑生产 %%{1} %%{2} 个,,prop;EntityBuildObject;3,"input;1;个数,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10034,停止执行代码块逻辑,是,,StopExecute,次,,control,1,block,2,,,停止执行 %%{1} 代码,,"dropdown;1;全部,当前事件,其他事件",,,,,,,,,,,,,,,,,,,,,,,,,,10000,1
10035,使用某种消耗品,是,,UseConsumable,次,500,function,,block,,,,使用消耗品 %%{1},,"prop;Item;5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10036,加法,是,,,个,,operator,,value,,,,%%{1} + %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10037,减法,是,,,个,,operator,,value,,,,%%{1} - %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10038,乘法,是,,,个,,operator,,value,,,,%%{1} * %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10039,除法,是,,,个,,operator,,value,,,,%%{1} / %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10040,随机,是,,,个,,operator,1,value,2,,,选择 %%{1} 到 %%{2} 之间的随机数,,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,700,1
10041,小于,是,,,个,,operator,,boolean,,,,%%{1} < %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10042,等于,是,,,个,,operator,,boolean,,,,%%{1} = %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10043,大于,是,,,个,,operator,,boolean,,,,%%{1} > %%{2},,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,1
10044,与,是,,,个,,operator,1,boolean,2,,,%%{1} 并且 %%{2},,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,1100,1
10045,或,是,,,个,,operator,1,boolean,2,,,%%{1} 或者 %%{2},,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,1200,1
10046,非,是,,,个,,operator,1,boolean,2,,,非 %%{1},,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1
10047,连接,是,,,个,,operator,1,value,2,,,连接 %%{1}和%%{2},,"input;2;文本,hello","input;2;文本,world",,,,,,,,,,,,,,,,,,,,,,,,,500,1
10048,选择字母,是,,,个,,operator,1,value,2,,,第%%{1} 个字母 %%{2} ,,"input;1;第几个,1,-99999999,99999999;1000","input;2;文本,world",,,,,,,,,,,,,,,,,,,,,,,,,300,1
10049,长度,是,,,个,,operator,1,value,2,,,%%{1} 的长度,,"input;2;文本,world",,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10050,取余,是,,,个,,operator,1,value,2,,,%%{1} 对 %%{2} 的余数,,"input;1;数字,1,-99999999,99999999;1000","input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,600,1
10051,四舍五入,是,,,个,,operator,1,value,2,,,与 %%{1} 最相近的整数,,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,400,1
10052,操作数,是,,,个,,operator,1,value,2,,,对 %%{1} 执行 %%{2} 运算,,"input;1;数字,1,-99999999,99999999;1000","dropdown;1;abs,floor,ceiling,sqrt,sin,cos,tan,asin,acos,atan,ln,log,e^,10^",,,,,,,,,,,,,,,,,,,,,,,,,800,1
10053,等待N秒,是,,,秒,,control,1,block,2,,,等待 %%{1} 毫秒,,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10054,重复执行N次,是,,,次,20,control,1,forkable,2,,,重复执行 %%{1} 次,,"input;1;次数,10,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10055,无限重复执行,是,,,次,20,control,1,forkable,2,,,重复执行,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10056,If…Then,是,,,次,20,control,1,forkable,2,,,如果 %%{1} 则,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10057,If…Then…Else,是,,,次,20,control,,forkable,,,,如果 %%{1} 则,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,否则,400,1
10058,wait…until,是,,,次,20,control,1,block,2,,,等待直到 %%{1},,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10059,repeat…until,是,,,次,20,control,1,forkable,2,,,重复执行直到 %%{1},,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10060,能够即时显示开始后经历的秒数 timer,是,PassedSecond,,次,,detect,,value,,,,计时器,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10061,将计时器重制为初始值,是,,ResetTimer,次,,control,,block,,,,计时器归零,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1
10062,返回年月日时分秒,是,Year|Month|Date|DayOfWeek|Hour|Minute|Second,,次,,detect,1,value,2,,,当前 %%{1},,"dropdown;1;year,month,date,day of week,hour,minute,second",,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10063,截取文本某端的代码块,,,,,,operator,1,value,2,,,%%{1} 的第%%{2}个字母到第 %%{3} 个字母,,"input;2;文本,world","input;1;第几个,1,-99999999,99999999;1000","input;1;第几个,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,900,1
10065,选择变量,是,,,个,,variable,,value,2,,,%%{1},,variable,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10066,给变量赋值,是,,,次,,variable,1,block,2,,,把变量 %%{1} 赋值为 %%{2},,variable,"input;2;元素,1;1000",,,,,,,,,,,,,,,,,,,,,,,,,100,1
10067,改变变量的值,是,,,次,,variable,1,block,2,,,把变量 %%{1} %%{2}%%{3},,variable,"dropdown;1;增加,减少","input;2;元素,1;1000",,,,,,,,,,,,,,,,,,,,,,,,200,1
10068,当实体进入领地时触发代码,是,,,次,100,event,1,block,,,,当%%{1} %%{2},,"dropdown;2;5,18;800","dropdown;1;进入我领地时,离开我领地时",,,,,,,,,,,,,,,,,,,,,,,,,,
10069,当周围N米范围内存在在某对象时触发,是,,,米,100,event,,block,,,,周围 %%{1} 米，存在 %%{2} 时,,"input;1;距离,10,0,20;100",blank;10020;3,,,,,,,,,,,,,,,,,,,,,,,,,,1
10070,机器人被攻击%%,是,,BeAttack,次,10000,event,,block,,,,当%%{1}被攻击时%%{2},,"dropdown;2;5,18;800",output;10095;攻击者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10071,收到附近玩家的文本消息,是,,,次,1000,event,,block,,,,收到 %%{1} 机器控制台消息 %%{2},,"dropdown;1;自身,其他玩家,所有玩家",input;2;接收机器人频道消息,,,,,,,,,,,,,,,,,,,,,,,,,,1
10072,开始,是,,start,次,,event,1,block,2,,,当地图运行时,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10074,发送广播,是,,BroadcastMessage,次,100,function,1,block,2,,,发送广播 %%{1},,input;2;请输入广播;300,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10075,接收广播并执行,是,,,次,100,event,1,block,2,,,当收到广播 %%{1},,input;2;请输入广播;300,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10076,"丢弃背包内 %% ,丢弃个数: %%",是,,DropBackpackItem,次,100,function,,block,,,,"丢弃背包内 %%{1} ,丢弃个数: %%{2}",,blank;10021;3;700,"input;1;个数,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10077,行走至 %% 米内实体附近,是,,Follow,米,100,function,,block,,,,行走至 %%{1} 米内%%{2}附近,,"input;1;距离,10,0,20;100","dropdown;2;5,18;800",,,,,,,,,,,,,,,,,,,,,,,,,,1
10078,将指定建筑放置于XY处,是,,Build,米,100,function,,block,,,,放置建筑 %%{1} 于坐标 %%{2} ,,"prop;EntityBuildObject;1,2,3,4,5,6,7",blank;10127;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
10079,当实体死亡,是,,PlayerDead,次,,event,,block,,,,当%%{1}死亡%%{2},,"dropdown;2;5,18;800",output;10095;击杀者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10080,攻击附件X米内的,是,,Attack,米,10000,function,,block,,,,攻击附近 %%{1} 米内的 %%{2},,"input;1;距离,1,0,20;100",blank;10024;3;600,,,,,,,,,,,,,,,,,,,,,,,,,,1
10084,收回机器人,是,,RecycleBot,次,,function,,block,,,,召回,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10085,当建筑被建造时,是,,,次,1000,event,1,block,,,,当 %%{1} 被建造时,,"prop;Entity;1,2,3,4,8,9,99",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10086,当XX被合成时,是,,,次,1000,event,,block,,,,当 %%{1} 被合成时%%{2},,blank;10021;3;700,output;10095;合成者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10089,当实体攻击时,是,,,次,100,event,,block,,,,当%%{1}攻击时%%{2},,"dropdown;2;5,18;800",output;10095;被攻击者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10091,机器人传送回领地,是,,TeleportBotBackToDomain,次,100000,function,,block,,,,机器人传送回领地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10093,背包内物品 %% 数量,是,,,个,,detect,,value,,,,背包内物品 %%{1} 数量,,"prop;Item;5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10094,当实体被操作时,是,,,,,event,1,block,,,,当%%{1}被操作时%%{2},,blank;10125;2;800,output;10095;触发者,,,,,,,,,,,,,,,,,,,,,,,,,,1
10095,返回id(int64),是,,,,,return,,value,,,entity,回调1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10096,返回值布尔型(bool),是,,,,,return,,boolean,,,,回调2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10097,操作失效/操作生效,是,,,,,function,,block,,,,%%{1},,"dropdown;1;操作生效,操作失效",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10099,下一个造型,是,,,,,function,,block,,,,下一个造型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10100,切换到第X个造型,是,,,,,function,,block,,,,切换到第%%{1}造型,,dropdown;3;;100,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10101,当实体播放到第X个造型,是,,,,,event,,block,,,,当%%{1}播放到第%%{2}个造型时,,"dropdown;2;5,18;800",dropdown;3;1;100,,,,,,,,,,,,,,,,,,,,,,,,,,1
10102,当主角在物件上时,是,,,,,event,,block,,,,当物件上存在主角时,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10103,当实体能源耗尽时（源码能源装置）,是,,,,,event,,block,,,,当%%{1}能源还有%%{2}秒耗尽时,,"dropdown;2;5,18;800","input;1;时间,10,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10104,使用XX物品给X充能（机器人代码块）,是,,,,,function,,block,,,,使用%%{1}给%%{2}充能,,"prop;Item;5,6,7,8,9","dropdown;2;5,18;800",,,,,,,,,,,,,,,,,,,,,,,,,,1
10105,启动物件/暂停物件（机器人代码块）,是,,,,,function,,block,,,,%%{1}%%{2},,"dropdown;1;启动,暂停","dropdown;2;5,18;800",,,,,,,,,,,,,,,,,,,,,,,,,,1
10107,当主角离开物件时,是,,,,,event,,block,,,,当主角离开物件时,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10109,外观-镜像(左右),是,,,,,move,1,block,,,,镜像,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1
10110,传送到像素坐标,是,,,,,move,1,block,2,,,传送到%%{1},,blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10111,控制代码块 退出循环,是,,,,,control,1,block,2,,,退出循环,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1
10112,检测代码块-造型判断,是,,,,,detect,,boolean,,,,%%{1}播放到第%%{2}个造型,,"dropdown;2;5,18;800",dropdown;3;1;100,,,,,,,,,,,,,,,,,,,,,,,,,,1
10113,检测代码块-碰撞检测,是,,,,,detect,1,boolean,2,,,%%{1}和%%{2}重叠,,blank;10126;2;800,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,900,1
10114,检测代码块-操作失效判断,是,,,,,detect,,boolean,,,,%%{1}操作%%{2},,blank;10126;2;800,"dropdown;1;生效,失效",,,,,,,,,,,,,,,,,,,,,,,,,,1
10116,"事件代码块- ""当""",是,,,,,event,,block,,,,当%%{1},,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10120,碰到边缘就反弹,是,,,,,move,,block,,,,碰到边缘就反弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,
10121,像素移动代码块,是,,,,,move,,block,,,,以%%{1}速度移动%%{2}像素,,"input;1;速度,100,0,99999999;100","input;1;像素,100,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,,,1
10122,旋转XX度,,,,,,internal,,block,,,,旋转%%{1} %%{2},,"input;3;角度,180,-99999999,99999999;100","dropdown;1;自然角度,场景角度;;1,0",,,,,,,,,,,,,,,,,,,,,,,,,,1
10123,某个物件当前是否隐藏,是,,,,,detect,1,boolean,2,,,%%{1}隐藏,,blank;;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10124,物件显示/隐藏,是,,,,,function,1,block,2,,,%%{1},,"dropdown;1;显示,隐藏",,,,,,,,,,,,,,,,,,,,,,,,,,400,1
10125,指代实体自己的椭圆代码块,是,,,,,prop,1,value,2,,entity,实体本身,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10126,可以吸附其它实体的椭圆代码块,是,,,,,prop,1,interactive,2,,interactive,点击吸附实体,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10127,相对领地的XY坐标,,,,,,move,,value,,,xy,相对于领地的%%{1}X:%%{2}Y:%%{3},,"dropdown;1;自然坐标,场景坐标;;1,0","input;1;像素,1,-99999999,99999999;100","input;1;像素,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,640,
10128,相对于主角的XY坐标,,,,,,move,,value,,,xy,相对于主角的%%{1}X:%%{2}Y:%%{3},,"dropdown;1;自然坐标,场景坐标;;1,0","input;1;像素,1,-99999999,99999999;100","input;1;像素,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,650,1
10129,"X, Y坐标",是,,,个,,move,1,value,2,,xy, %%{1}X:%%{2} Y:%%{3},,"dropdown;1;自然坐标,场景坐标;;1,0","input;1;像素,1,-99999999,99999999;100","input;1;像素,1,-99999999,99999999;100",,,,,,,,,,,,,,,,,,,,,,,,630,1
10130,当作为克隆体启动时,,,,,,event,1,block,,,,当作为克隆体启动时,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1
10131,克隆一个实体,,,,,,function,1,block,,,,克隆自己,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1
10132,删除自己的克隆体,,,,,,function,1,block,,,,如果自己是克隆体，删除自己,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1
10133,新建对话框,,,,,,function,,block,,,,对%%{1}弹出%%{2}对话框,,blank;10126;2;800,input;2;请输入对话,,,,,,,,,,,,,,,,,,,,,,,,,,1
10134,询问主角-问答题,,,,,,function,,block,,,,对%%{1}弹出%%{2}%%{3},,blank;10126;2;800,output;10147;问答题,input;2;请输入问题,,,,,,,,,,,,,,,,,,,,,,,,,1
10135,获得答案,,,,,,event,,block,,,,当%%{1}提交%%{2}的%%{3}时,,output;10095;触发者,blank;;4;900,output;10139;答案,,,,,,,,,,,,,,,,,,,,,,,,600,1
10136,询问主角-选择题,,,,,,function,,block,,,,"对%%{1}弹出%%{2}%%{3},选项%%{4}",,blank;10126;2;800,output;10147;选择题,input;2;请输入问题,"input;2;选项;;1,4,",,,,,,,,,,,,,,,,,,,,,,,,1
10137,获得选项,,,,,,event,,block,,,,当%%{1}提交%%{2}的%%{3}时,,output;10095;触发者,blank;;4;900,output;10138;选项,,,,,,,,,,,,,,,,,,,,,,,,700,1
10138,返回值数值型(int32),是,,,,,return,,value,,,,回调3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10139,返回字符串型(string),,,,,,return,,value,,,,回调4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10140,面向X度（生物类物件专用）,,,,,,internal,,block,,,,面向%%{1} %%{2},,"input;3;角度,1,0,360;100","dropdown;1;自然角度,场景角度;;1,0",,,,,,,,,,,,,,,,,,,,,,,,,,1
10141,指代自己的机器人的代码块,,,,,,prop,,value,,,entity,机器人,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10142,指代主角自己的代码块,,,,,,prop,1,value,,,entity,主角,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,
10143,当（实体）坐标改变时,,,,,,event,1,block,,,,当%%{1}坐标改变时,,blank;10125;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10144,播放声音,,,,,,function,,block,,,,播放声音%%{1},,dropdown;4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10145,当主角按下攻击键时,,,,,,event,,block,,,,当%%{1}按下攻击键时,,output;10095;触发者,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10146,当%%被点击时,,,,,,event,1,block,2,,,当%%{1}被点击时%%{2},,blank;10125;2;800,output;10095;玩家,,,,,,,,,,,,,,,,,,,,,,,,,500,1
10147,返回问题类实体(string),,,,,,return,,value,,,question,回调5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10148,实体传送代码块,,,,,,move,1,block,2,,,将%%{1}传送至%%{2} %%{3},,blank;;2;800,blank;10129;1;500,"dropdown;1;无效果,云雾遮蔽,黑屏过渡,机器猫过渡",,,,,,,,,,,,,,,,,,,,,,,,800,1
10149,当主角在物件上时,是,,,,,event,1,block,2,,,当%%{1}移动到%%{2}上时,,output;10095;触发者,blank;10125;2;800,,,,,,,,,,,,,,,,,,,,,,,,,800,1
10150,当主角离开物件时,是,,,,,event,1,block,2,,,当%%{1}离开%%{2}时,,output;10095;触发者,blank;10125;2;800,,,,,,,,,,,,,,,,,,,,,,,,,900,1
10151,新建对话框-新,,,,,,function,,block,,,,对%%{1}弹出%%{2} %%{3},,blank;;2;800,input;2;请输入对话,"dropdown;1;屏幕对话,场景对话",,,,,,,,,,,,,,,,,,,,,,,,800,1
10152,询问主角-问答题-新,,,,,,function,,block,,,,对%%{1}弹出%%{2}%%{3} %%{4},,blank;;2;800,output;10147;问答题,input;2;请输入问题,"dropdown;1;屏幕对话,场景对话",,,,,,,,,,,,,,,,,,,,,,,900,1
10153,询问主角-选择题-新,,,,,,function,,block,,,,"对%%{1}弹出%%{2}%%{3} %%{4},选项%%{5}",,blank;;2;800,output;10147;选择题,input;2;请输入问题,"dropdown;1;屏幕对话,场景对话","input;2;选项;;1,4,",,,,,,,,,,,,,,,,,,,,,,1000,1
10155,询问主角-选择题-新,,,,,,function,,block,,,,"对%%{1}弹出%%{2}%%{3} %%{4},选项%%{5}%%{6}",,blank;;2;800,output;10147;选择题,input;2;请输入问题,"dropdown;1;屏幕对话,场景对话",input;2;选项,edit_inputs;2;选项,,,,,,,,,,,,,,,,,,,,,,1
10154,If…Then…Else,是,,,次,20,control,1,forkable,2,,,如果 %%{1} 则,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,否则,400,1
10160,自定义函数-创建,,,,,,diyfunction,1,block,2,,,定义函数%%{1}%%{2},,input;4;请输入命名;400,define_args;,,,,,,,,,,,,,,,,,,,,,,,,,100,1
10161,返回值,,,,,,diyfunction,1,block,2,,,返回%%{1},,input;2;返回值,,,,,,,,,,,,,,,,,,,,,,,,,,200,1
10162,自定义函数-使用,,,,,,diyfunction,,block,2,,,函数%%{1},,args;,,,,,,,,,,,,,,,,,,,,,,,,,,400,1
10163,自定义函数-返回值,,,,,,diyfunction,,value,2,,,函数%%{1},,args;,,,,,,,,,,,,,,,,,,,,,,,,,,300,1
10164,提交代码块,,,,,,function,,block,,,,结束%%{1}关卡,,blank;10126;2;800,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10165,生物运动到某个点的代码块,,,,,,move,,block,,,,以%%{1}速度移动到%%{2},,"input;1;速度,100,-99999999,99999999;100",blank;10129;1;500,,,,,,,,,,,,,,,,,,,,,,,,,,1
10166,提示代码块,,,,,,function,1,block,2,,,%%{1}提示%%{2},,"dropdown;1;显示,隐藏","dropdown;1;标识,箭头,手指,叹号,问号",,,,,,,,,,,,,,,,,,,,,,,,,500,1
10167,通行方向代码块,,,,,,function,,block,,,,设置通行方向%%{1},,"dropdown;1;上,下,左,右,上下,上右,上左,下左,下右,左右,上下左,上下右,下左右,上左右,上下左右",,,,,,,,,,,,,,,,,,,,,,,,,,,1
10168,列表代码块,,,,,,list,,value,2,,,%%{1},,list,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10169,添加元素到列表的末尾,,,,,,list,1,block,2,,,添加%%{1}到%%{2}的末尾,,"input;2;元素,1;1000",list,,,,,,,,,,,,,,,,,,,,,,,,,2,1
10170,插入元素到列表的某一项,,,,,,list,1,block,2,,,插入%%{1}到%%{2}的第%%{3}项,,"input;2;元素,1;1000",list,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,3,1
10171,删除列表的某一项,,,,,,list,1,block,2,,,删除%%{1}第%%{2}项,,list,"input;1;数字,1,-99999999,99999999;1000",,,,,,,,,,,,,,,,,,,,,,,,,4,1
